[7l----system---- ------memory-usage----- -net/total- ----total-cpu-usage---- ---load-avg---
     time     | used  buff  cach  free| recv  send|usr sys idl wai hiq siq| 1m   5m  15m 
05-09 16:55:26|2105M    0     0  1009M|   0     0 |0.2 0.0 100 0.0   0   0|0.02 0.02    0
05-09 16:55:27|2105M    0     0  1009M| 104B    0 |  0   0 100   0   0   0|0.02 0.02    0
05-09 16:55:28|2105M    0     0  1009M|84.0B 52.0B|  0 0.2 100   0   0   0|0.02 0.02    0
05-09 16:55:29|2105M    0     0  1009M| 356B 1268B|  0   0 100   0   0   0|0.02 0.02    0
05-09 16:55:30|2105M    0     0  1009M|   0     0 |  0   0 100   0   0   0|0.02 0.02    0
05-09 16:55:31|2105M    0     0  1009M| 628B  452B|  0   0 100   0   0   0|0.02 0.02    0
05-09 16:55:32|2105M    0     0  1009M| 732B  436B|  0   0 100   0   0   0|0.02 0.02    0
05-09 16:55:33|2105M    0     0  1009M| 408B  252B|0.2   0 100   0   0   0|0.02 0.02    0
05-09 16:55:34|2107M    0     0  1007M| 408B 1216B|0.2 0.2 100   0   0   0|0.02 0.02    0
05-09 16:55:35|2107M    0     0  1007M|1200B 1332B|0.4 0.2  99   0   0   0|0.02 0.02    0
05-09 16:55:36|2107M    0     0  1007M|1616B 1640B|  0   0 100   0   0   0|0.02 0.02    0
05-09 16:55:37|2107M    0     0  1007M|1080B 1204B|  0 0.2 100   0   0   0|0.02 0.02    0
05-09 16:55:38|2107M    0     0  1007M|2608B 2848B|0.2 0.8  99   0   0   0|0.02 0.02    0
05-09 16:55:39|2107M    0     0  1007M| 272B  200B|  0 0.2 100   0   0   0|0.02 0.02    0
05-09 16:55:40|2107M    0     0  1007M| 272B  232B|  0   0 100   0   0   0|0.02 0.02    0
05-09 16:55:41|2107M    0     0  1007M| 272B  200B|0.2 0.2 100   0   0   0|0.02 0.02    0
05-09 16:55:42|2107M    0     0  1007M| 136B  152B|  0   0 100   0   0   0|0.02 0.02    0
05-09 16:55:43|2107M    0     0  1007M| 408B  368B|  0   0 100   0   0   0|0.01 0.02    0
05-09 16:55:44|2107M    0     0  1007M|   0     0 |  0   0 100   0   0   0|0.01 0.02    0
05-09 16:55:45|2105M    0     0  1009M| 136B  132B|  0   0 100   0   0   0|0.01 0.02    0
05-09 16:55:46|2105M    0     0  1009M|   0     0 |  0   0 100   0   0   0|0.01 0.02    0
05-09 16:55:47|2105M    0     0  1009M| 272B  416B|0.2   0 100   0   0   0|0.01 0.02    0
05-09 16:55:48|2105M    0     0  1009M|   0     0 |  0   0 100   0   0   0|0.01 0.02    0
05-09 16:55:49|2105M    0     0  1009M| 772B 1004B|  0 0.2 100   0   0   0|0.01 0.02    0
05-09 16:55:50|2105M    0     0  1009M|84.0B 52.0B|  0   0 100   0   0   0|0.01 0.02    0
05-09 16:55:51|2105M    0     0  1009M| 136B  216B|  0   0 100   0   0   0|0.01 0.02    0
05-09 16:55:52|2105M    0     0  1009M|   0     0 |  0   0 100   0   0   0|0.01 0.02    0
05-09 16:55:53|2105M    0     0  1009M| 136B  100B|0.2   0 100   0   0   0|0.01 0.02    0
05-09 16:55:54|2105M    0     0  1009M| 136B  100B|  0   0 100   0   0   0|0.01 0.02    0
05-09 16:55:55|2105M    0     0  1009M| 356B  252B|  0   0 100   0   0   0|0.01 0.02    0
05-09 16:55:56|2105M    0     0  1009M| 168B  432B|0.2   0 100   0   0   0|0.01 0.02    0
