[7l----system---- ------memory-usage----- -net/total- ----total-cpu-usage---- ---load-avg---
     time     | used  buff  cach  free| recv  send|usr sys idl wai hiq siq| 1m   5m  15m 
02-09 15:25:04|2123M    0     0   992M|   0     0 |0.2 0.0 100 0.0   0   0|0.05 0.05 0.06
02-09 15:25:05|2123M    0     0   992M| 220B  104B|  0   0 100   0   0   0|0.05 0.05 0.06
02-09 15:25:06|2123M    0     0   992M| 188B  248B|0.2 0.2 100   0   0   0|0.05 0.05 0.06
02-09 15:25:07|2145M    0     0   970M| 272B  184B|4.4 0.6  95   0   0   0|0.05 0.05 0.05
02-09 15:25:08|2193M    0     0   921M| 676B  608B| 15 1.3  83   0   0   0|0.05 0.05 0.05
02-09 15:25:09|2244M    0     0   871M|   0     0 | 16 0.8  83   0   0   0|0.05 0.05 0.05
02-09 15:25:10|2236M    0     0   879M|1431B 1310B| 14 1.3  84   0   0   0|0.05 0.05 0.05
02-09 15:25:11|2229M    0     0   886M|40.3k 40.2k| 15 2.0  83   0   0   0|0.05 0.05 0.05
02-09 15:25:12|2207M    0     0   907M|45.1k 45.0k| 15 1.8  83   0   0   0|0.12 0.07 0.06
02-09 15:25:13|2248M    0     0   866M|   0     0 | 16 1.2  83   0   0   0|0.12 0.07 0.06
02-09 15:25:14|2236M    0     0   879M|40.3k 40.2k| 15 1.5  83   0   0   0|0.12 0.07 0.06
02-09 15:25:15|2252M    0     0   862M|84.0B 52.0B| 16 0.8  83   0   0   0|0.12 0.07 0.06
02-09 15:25:16|2252M    0     0   862M| 340B 1188B| 16 0.8  83   0   0   0|0.12 0.07 0.06
02-09 15:25:17|2252M    0     0   862M|   0     0 | 17 0.3  83   0   0   0|0.19 0.08 0.06
02-09 15:25:18|2253M    0     0   862M| 104B  328B| 16 0.5  83   0   0   0|0.19 0.08 0.06
02-09 15:25:19|2253M    0     0   862M| 156B 2607B| 17 1.0  82   0   0   0|0.19 0.08 0.06
02-09 15:25:20|2253M    0     0   862M|   0     0 | 16 0.3  83   0   0   0|0.19 0.08 0.06
02-09 15:25:21|2218M    0     0   897M|48.2k 48.3k| 15 2.0  83   0   0   0|0.19 0.08 0.06
02-09 15:25:22|2196M    0     0   919M|39.1k 39.0k| 15 1.8  83   0   0   0|0.26 0.10 0.07
02-09 15:25:23|2245M    0     0   870M| 744B  588B| 16 0.7  83   0   0   0|0.26 0.10 0.07
