[7l----system---- ------memory-usage----- -net/total- ----total-cpu-usage---- ---load-avg---
     time     | used  buff  cach  free| recv  send|usr sys idl wai hiq siq| 1m   5m  15m 
30-08 11:09:15|2099M    0     0  1015M|   0     0 |0.1 0.0 100 0.0   0   0|0.72 0.68 0.50
30-08 11:09:16|2099M    0     0  1015M|52.0B    0 |  0   0 100   0   0   0|0.72 0.68 0.50
30-08 11:09:17|2099M    0     0  1015M| 272B  880B|  0   0 100   0   0   0|0.66 0.67 0.50
30-08 11:09:18|2099M    0     0  1015M|   0     0 |  0 0.2 100   0   0   0|0.66 0.67 0.50
30-08 11:09:19|2138M    0     0   976M| 136B  100B|8.0 1.1  91   0   0   0|0.66 0.67 0.50
30-08 11:09:20|2163M    0     0   951M|84.0B 52.0B| 10 0.5  89   0   0   0|0.66 0.67 0.50
30-08 11:09:21|2163M    0     0   951M| 136B  216B|  0 0.2 100   0   0   0|0.66 0.67 0.50
30-08 11:09:22|2163M    0     0   951M|   0     0 |  0   0 100   0   0   0|0.61 0.66 0.49
30-08 11:09:23|2193M    0     0   921M| 136B 84.0B|7.0 0.7  92   0   0   0|0.61 0.66 0.49
30-08 11:09:24|2245M    0     0   870M| 676B  608B| 16 0.8  83   0   0   0|0.61 0.66 0.49
30-08 11:09:25|2235M    0     0   880M| 706B  645B| 16 0.8  83   0   0   0|0.61 0.66 0.49
30-08 11:09:26|2269M    0     0   845M| 136B  728B| 15 2.6  82   0   0   0|0.61 0.66 0.49
30-08 11:09:27|2301M    0     0   814M|   0     0 | 15 2.6  83   0   0   0|0.64 0.66 0.49
30-08 11:09:28|2331M    0     0   784M|   0     0 | 15 2.2  83   0   0   0|0.64 0.66 0.49
30-08 11:09:29|2370M    0     0   745M|   0     0 | 14 3.3  83   0   0   0|0.64 0.66 0.49
30-08 11:09:30|2420M    0     0   694M| 809B  717B| 15 2.1  83   0   0   0|0.64 0.66 0.49
30-08 11:09:31|2440M    0     0   674M|52.0B  100B| 15 1.3  84   0   0   0|0.64 0.66 0.49
30-08 11:09:32|2420M    0     0   695M|34.5k 34.4k| 15 2.0  83   0   0   0|0.67 0.67 0.50
30-08 11:09:33|2438M    0     0   676M|52.0B  100B| 16 1.2  83   0   0   0|0.67 0.67 0.50
30-08 11:09:34|2416M    0     0   698M|38.8k 42.0k| 15 2.2  83   0   0   0|0.67 0.67 0.50
30-08 11:09:35|2448M    0     0   666M|52.0B  100B| 15 1.2  83   0   0   0|0.67 0.67 0.50
30-08 11:09:36|2409M    0     0   705M|43.3k 43.2k| 15 2.2  83   0   0   0|0.67 0.67 0.50
30-08 11:09:37|2441M    0     0   673M|52.0B  100B| 16 0.7  83   0   0   0|0.69 0.68 0.50
30-08 11:09:38|2406M    0     0   709M|39.9k 39.6k| 15 1.8  83   0   0   0|0.69 0.68 0.50
30-08 11:09:39|2392M    0     0   723M|31.1k 31.0k| 15 1.3  83   0   0   0|0.69 0.68 0.50
30-08 11:09:40|2438M    0     0   676M| 772B 1036B| 16 1.2  83   0   0   0|0.69 0.68 0.50
30-08 11:09:41|2387M    0     0   727M|36.8k 37.1k| 15 1.7  83   0   0   0|0.69 0.68 0.50
30-08 11:09:42|2435M    0     0   680M|52.0B  100B| 16 1.0  83   0   0   0|0.72 0.68 0.50
30-08 11:09:43|2437M    0     0   677M|34.6k 36.6k| 15 1.8  83   0   0   0|0.72 0.68 0.50
30-08 11:09:44|2428M    0     0   686M|3153B 8218B| 16 1.0  83   0   0   0|0.72 0.68 0.50
30-08 11:09:45|2448M    0     0   667M| 156B  300B| 15 1.7  83   0   0   0|0.72 0.68 0.50
30-08 11:09:46|2426M    0     0   688M|36.1k 36.0k| 15 1.3  83   0   0   0|0.72 0.68 0.50
30-08 11:09:47|2444M    0     0   670M| 156B  300B| 15 1.8  84   0   0   0|0.74 0.69 0.50
30-08 11:09:48|2426M    0     0   689M|36.8k 36.7k| 15 1.3  83   0   0   0|0.74 0.69 0.50
30-08 11:09:49|2442M    0     0   673M| 104B  184B| 15 1.5  83   0   0   0|0.74 0.69 0.50
30-08 11:09:50|2425M    0     0   689M|34.6k 34.5k| 15 1.3  83   0   0   0|0.74 0.69 0.50
30-08 11:09:51|2418M    0     0   697M|38.0k 37.9k| 16 1.2  83   0   0   0|0.74 0.69 0.50
30-08 11:09:52|2446M    0     0   668M| 104B  200B| 15 1.0  84   0   0   0|0.76 0.69 0.51
30-08 11:09:53|2414M    0     0   701M|34.6k 34.5k| 15 1.7  84   0   0   0|0.76 0.69 0.51
30-08 11:09:54|2398M    0     0   717M|31.5k 38.2k| 15 1.2  83   0   0   0|0.76 0.69 0.51
30-08 11:09:55|2442M    0     0   672M| 408B  740B| 15 1.3  83   0   0   0|0.76 0.69 0.51
