[7l----system---- ------memory-usage----- -net/total- ----total-cpu-usage---- ---load-avg---
     time     | used  buff  cach  free| recv  send|usr sys idl wai hiq siq| 1m   5m  15m 
30-08 12:07:41|2105M    0     0  1009M|   0     0 |0.1 0.0 100 0.0   0   0|0.05 0.26 0.45
30-08 12:07:42|2105M    0     0  1009M|   0  52.0B|  0   0 100   0   0   0|0.05 0.26 0.45
30-08 12:07:43|2105M    0     0  1009M| 220B  236B|0.2   0 100   0   0   0|0.05 0.26 0.45
30-08 12:07:44|2105M    0     0  1009M|84.0B 52.0B|  0   0 100   0   0   0|0.12 0.27 0.45
30-08 12:07:45|2105M    0     0  1009M| 136B  216B|  0   0 100   0   0   0|0.12 0.27 0.45
30-08 12:07:46|2105M    0     0  1009M| 136B  100B|0.2   0 100   0   0   0|0.12 0.27 0.45
30-08 12:07:47|2105M    0     0  1009M|84.0B 52.0B|  0   0 100   0   0   0|0.12 0.27 0.45
30-08 12:07:48|2105M    0     0  1009M| 136B  200B|  0   0 100   0   0   0|0.12 0.27 0.45
30-08 12:07:49|2157M    0     0   957M| 304B  220B| 15 1.0  84   0   0   0|0.19 0.28 0.46
30-08 12:07:50|2215M    0     0   899M| 676B  608B| 16 1.0  83   0   0   0|0.19 0.28 0.46
30-08 12:07:51|2205M    0     0   909M|1566B 1477B| 15 2.1  83   0   0   0|0.19 0.28 0.46
30-08 12:07:52|2252M    0     0   862M|   0     0 | 15 1.5  83   0   0   0|0.19 0.28 0.46
30-08 12:07:53|2245M    0     0   870M|50.1k 49.9k| 16 1.6  82   0   0   0|0.19 0.28 0.46
30-08 12:07:54|2288M    0     0   827M|36.3k 36.2k| 27 1.6  71   0   0   0|0.34 0.31 0.46
30-08 12:07:55|2364M    0     0   751M| 760B  660B| 27 1.9  71   0   0   0|0.34 0.31 0.46
30-08 12:07:56|2382M    0     0   733M|2353B 3386B| 30 2.2  67   0   0   0|0.34 0.31 0.46
30-08 12:07:57|2342M    0     0   772M|35.8k 37.9k| 28 1.1  71   0   0   0|0.34 0.31 0.46
30-08 12:07:58|2394M    0     0   721M|   0     0 | 27 1.3  71   0   0   0|0.34 0.31 0.46
30-08 12:07:59|2353M    0     0   762M|72.3k 72.3k| 27 1.6  71   0   0   0|0.47 0.34 0.47
