[7l----system---- ------memory-usage----- -net/total- ----total-cpu-usage---- ---load-avg---
     time     | used  buff  cach  free| recv  send|usr sys idl wai hiq siq| 1m   5m  15m 
06-09 11:51:01|2158M    0     0   957M|   0     0 |0.2 0.0 100 0.0   0   0|0.25 0.42 0.33
06-09 11:51:02|2167M    0     0   948M| 136B    0 | 20 1.2  78   0   0   0|0.31 0.43 0.34
06-09 11:51:03|2167M    0     0   948M| 272B  384B| 22 1.7  76   0   0   0|0.31 0.43 0.34
06-09 11:51:04|2170M    0     0   945M| 136B  100B| 22 1.4  77   0   0   0|0.31 0.43 0.34
06-09 11:51:05|2171M    0     0   943M|   0     0 | 17   0  83   0   0   0|0.31 0.43 0.34
06-09 11:51:06|2217M    0     0   898M| 136B 84.0B| 25 1.2  74   0   0   0|0.31 0.43 0.34
06-09 11:51:07|2273M    0     0   841M| 948B 2032B| 28 1.4  71   0   0   0|0.44 0.46 0.35
06-09 11:51:08|2236M    0     0   878M| 926B  909B| 25 0.7  75   0   0   0|0.44 0.46 0.35
06-09 11:51:09|2242M    0     0   872M|   0     0 | 11 0.7   - 09   0   0|0.44 0.46 0.35
06-09 11:51:10|2290M    0     0   825M| 810B  718B| 20 1.1 58  -   0   0|0.44 0.46 0.35
06-09 11:51:11|2275M    0     0   840M|35.2k 35.1k| 28 0.9  72  0   0   0|0.44 0.46 0.35
06-09 11:51:12|2311M    0     0   804M|   0     0 | 28 1.1  71  0   0   0|0.57 0.48 0.35
06-09 11:51:13|2228M    0     0   887M|49.6k 49.7k| 26 1.3  73  0   0   0|0.57 0.48 0.35
06-09 11:51:14|2216M    0     0   898M|58.6k 58.6k| 17 2.4  81  0   0   0|0.57 0.48 0.35
06-09 11:51:15|2298M    0     0   816M| 156B 2709B| 27 1.7  71  0   0   0|0.57 0.48 0.35
06-09 11:51:16|2336M    0     0   779M|48.9k 48.6k| 27 2.0  71  0   0   0|0.57 0.48 0.35
06-09 11:51:17|2290M    0     0   825M|35.2k 35.0k| 20 2.0  78  0   0   0|0.68 0.51 0.36
06-09 11:51:18|2309M    0     0   805M|47.2k 47.0k| 24 1.6  74  0   0   0|0.68 0.51 0.36
06-09 11:51:19|2324M    0     0   790M|56.3k 56.1k| 27 2.1  71  0   0   0|0.68 0.51 0.36
06-09 11:51:20|2356M    0     0   759M|31.1k 31.0k| 27 1.3  71  0   0   0|0.68 0.51 0.36
06-09 11:51:21|2336M    0     0   778M|76.0k 75.9k| 27 1.7  71  0   0   0|0.68 0.51 0.36
06-09 11:51:22|2275M    0     0   840M|82.2k 82.1k| 22 2.1  76  0   0   0|0.87 0.55 0.38
06-09 11:51:23|2308M    0     0   806M|36.5k 36.3k| 26 2.4  71  0   0   0|0.87 0.55 0.38
06-09 11:51:24|2329M    0     0   785M|45.8k 45.7k| 24 2.6  73  0   0   0|0.87 0.55 0.38
06-09 11:51:25|2294M    0     0   821M|90.6k  102k| 26 2.9  71  0   0   0|0.87 0.55 0.38
06-09 11:51:26|2323M    0     0   791M|36.3k 36.2k| 27 2.1  71  0   0   0|0.87 0.55 0.38
06-09 11:51:27|2357M    0     0   757M|37.0k 36.9k| 27 2.1  71  0   0   0|0.96 0.57 0.39
06-09 11:51:28|2339M    0     0   776M|77.2k 77.0k| 26 2.7  71  0   0   0|0.96 0.57 0.39
