[7l----system---- ------memory-usage----- -net/total- ----total-cpu-usage---- ---load-avg---
     time     | used  buff  cach  free| recv  send|usr sys idl wai hiq siq| 1m   5m  15m 
05-09 17:02:46|2105M    0     0  1010M|   0     0 |0.2 0.0 100 0.0   0   0|   0 0.09 0.05
05-09 17:02:47|2105M    0     0  1010M| 136B 52.0B|  0   0 100   0   0   0|   0 0.09 0.05
05-09 17:02:48|2105M    0     0  1010M| 272B  412B|  0 0.2 100   0   0   0|   0 0.09 0.05
05-09 17:02:49|2105M    0     0  1010M| 136B  100B|  0   0 100   0   0   0|   0 0.09 0.05
05-09 17:02:50|2157M    0     0   957M| 136B 84.0B| 14 0.7  85   0   0   0|   0 0.09 0.05
05-09 17:02:51|2105M    0     0  1010M| 104B  200B|5.1 0.4  95   0   0   0|   0 0.09 0.05
05-09 17:02:52|2105M    0     0  1010M|   0     0 |0.2   0 100   0   0   0|   0 0.09 0.05
05-09 17:02:53|2105M    0     0  1010M|   0     0 |  0   0 100   0   0   0|   0 0.09 0.05
05-09 17:02:54|2105M    0     0  1010M|   0     0 |  0   0 100   0   0   0|   0 0.09 0.05
05-09 17:02:55|2105M    0     0  1010M|84.0B 52.0B|  0   0 100   0   0   0|   0 0.09 0.05
05-09 17:02:56|2105M    0     0  1010M| 272B  400B|  0   0 100   0   0   0|   0 0.09 0.05
