[7l----system---- ------memory-usage----- -net/total- ----total-cpu-usage---- ---load-avg---
     time     | used  buff  cach  free| recv  send|usr sys idl wai hiq siq| 1m   5m  15m 
06-09 11:50:16|2105M    0     0  1009M|   0     0 |0.2 0.0 100 0.0   0   0|0.18 0.44 0.34
06-09 11:50:17|2105M    0     0  1009M|84.0B 52.0B|  0 0.2 100   0   0   0|0.17 0.43 0.33
06-09 11:50:18|2105M    0     0  1009M|1044B 1448B|  0 0.2 100   0   0   0|0.17 0.43 0.33
06-09 11:50:19|2105M    0     0  1009M| 136B  100B|0.2 0.2 100   0   0   0|0.17 0.43 0.33
06-09 11:50:20|2105M    0     0  1009M| 408B  252B|  0 0.2 100   0   0   0|0.17 0.43 0.33
06-09 11:50:21|2105M    0     0  1009M| 272B  168B|0.2   0 100   0   0   0|0.17 0.43 0.33
06-09 11:50:22|2105M    0     0  1009M| 136B  100B|0.2   0 100   0   0   0|0.16 0.43 0.33
06-09 11:50:23|2157M    0     0   958M| 136B  100B| 15 1.2  84   0   0   0|0.16 0.43 0.33
06-09 11:50:24|2215M    0     0   900M| 760B  660B| 16 1.2  83   0   0   0|0.16 0.43 0.33
06-09 11:50:25|2174M    0     0   941M| 998B 2347B|7.8 1.1   - 527   0   0|0.16 0.43 0.33
06-09 11:50:26|2203M    0     0   911M| 810B  718B|7.8 1.1 525   -   0   0|0.16 0.43 0.33
06-09 11:50:27|2178M    0     0   937M|45.1k 44.9k| 15 1.2  84   0   0   0|0.22 0.43 0.33
06-09 11:50:28|2267M    0     0   848M| 136B 84.0B| 21 2.6  76   0   0   0|0.22 0.43 0.33
06-09 11:50:29|2309M    0     0   805M|36.6k 36.4k| 26 2.0  72   0   0   0|0.22 0.43 0.33
06-09 11:50:30|2210M    0     0   905M|35.4k 35.3k| 25 2.3  73   0   0   0|0.22 0.43 0.33
06-09 11:50:31|2237M    0     0   878M| 188B 52.0B| 15 1.0  84   0   0   0|0.22 0.43 0.33
06-09 11:50:32|2155M    0     0   959M|57.3k 57.2k| 15 1.3  84   0   0   0|0.29 0.44 0.34
06-09 11:50:33|2105M    0     0  1009M| 580B 5432B|8.0 1.6  90   0   0   0|0.29 0.44 0.34
06-09 11:50:34|2105M    0     0  1009M|84.0B 52.0B|0.2   0 100   0   0   0|0.29 0.44 0.34
