05-09 14:30:02 2104M 0 0 1011M 0 0 0.2 0.0 100 0.0 0 0 0.09 0.62 0.72
05-09 14:30:03 2104M 0 0 1011M 188 52.0 0 0 100 0 0 0 0.09 0.62 0.72
05-09 14:30:04 2104M 0 0 1011M 272 396 0 0 100 0 0 0 0.09 0.62 0.72
05-09 14:30:05 2104M 0 0 1011M 220 204 0.2 0 100 0 0 0 0.09 0.62 0.72
05-09 14:30:06 2131M 0 0 983M 136 84.0 5.8 0.7 93 0 0 0 0.09 0.61 0.72
05-09 14:30:07 2168M 0 0 947M 0 0 13 0.7 86 0 0 0 0.09 0.61 0.72
05-09 14:30:08 2168M 0 0 946M 220 236 0 0 100 0 0 0 0.09 0.61 0.72
05-09 14:30:09 2168M 0 0 947M 0 0 0 0 100 0 0 0 0.09 0.61 0.72
05-09 14:30:10 2168M 0 0 947M 0 0 0 0 100 0 0 0 0.09 0.61 0.72
05-09 14:30:11 2203M 0 0 911M 136 100 8.2 0.7 91 0 0 0 0.16 0.62 0.72
05-09 14:30:12 2243M 0 0 871M 0 0 16 1.2 83 0 0 0 0.16 0.62 0.72
05-09 14:30:13 2232M 0 0 882M 0 0 14 2.7 83 0 0 0 0.16 0.62 0.72
05-09 14:30:14 2236M 0 0 879M 0 0 14 2.8 83 0 0 0 0.16 0.62 0.72
05-09 14:30:15 2238M 0 0 877M 84.0 52.0 14 2.2 83 0 0 0 0.16 0.62 0.72
05-09 14:30:16 2240M 0 0 874M 136 808 15 2.0 83 0 0 0 0.23 0.62 0.72
05-09 14:30:17 2242M 0 0 873M 772 1036 14 2.3 83 0 0 0 0.23 0.62 0.72
05-09 14:30:18 2244M 0 0 871M 52.0 100 14 2.5 83 0 0 0 0.23 0.62 0.72
05-09 14:30:19 2235M 0 0 880M 52.0 100 15 2.0 83 0 0 0 0.23 0.62 0.72
05-09 14:30:20 2237M 0 0 877M 52.0 100 15 2.2 83 0 0 0 0.23 0.62 0.72
05-09 14:30:21 2241M 0 0 874M 52.0 100 14 2.5 83 0 0 0 0.29 0.63 0.72
05-09 14:30:22 2268M 0 0 847M 52.0 148 16 3.4 80 0 0 0 0.29 0.63 0.72
05-09 14:30:23 2270M 0 0 845M 52.0 100 26 2.1 72 0 0 0 0.29 0.63 0.72
05-09 14:30:24 2266M 0 0 849M 52.0 100 24 1.6 75 0 0 0 0.29 0.63 0.72
05-09 14:30:25 2234M 0 0 880M 52.0 100 23 3.5 74 0 0 0 0.29 0.63 0.72
05-09 14:30:26 2237M 0 0 877M 52.0 100 15 2.2 83 0 0 0 0.34 0.63 0.72
05-09 14:30:27 2264M 0 0 851M 104 216 16 2.9 81 0 0 0 0.34 0.63 0.72
05-09 14:30:28 2265M 0 0 849M 52.0 100 26 2.0 72 0 0 0 0.34 0.63 0.72
05-09 14:30:29 2267M 0 0 847M 52.0 100 26 2.8 71 0 0 0 0.34 0.63 0.72
05-09 14:30:30 2242M 0 0 873M 52.0 100 23 2.7 75 0 0 0 0.34 0.63 0.72
05-09 14:30:31 2244M 0 0 871M 0 0 14 2.8 83 0 0 0 0.40 0.64 0.72
05-09 14:30:32 2234M 0 0 881M 52.0 100 14 2.8 83 0 0 0 0.40 0.64 0.72
05-09 14:30:33 2236M 0 0 878M 52.0 100 15 2.0 83 0 0 0 0.40 0.64 0.72
05-09 14:30:34 2262M 0 0 853M 52.0 148 16 2.8 81 0 0 0 0.40 0.64 0.72
05-09 14:30:35 2265M 0 0 849M 136 184 27 2.0 71 0 0 0 0.40 0.64 0.72
05-09 14:30:36 2269M 0 0 846M 52.0 100 26 2.3 72 0 0 0 0.52 0.66 0.73
05-09 14:30:37 2242M 0 0 873M 52.0 100 24 2.5 74 0 0 0 0.52 0.66 0.73
05-09 14:30:38 2244M 0 0 871M 824 1152 14 2.7 83 0 0 0 0.52 0.66 0.73
05-09 14:30:39 2254M 0 0 860M 52.0 132 16 2.9 81 0 0 0 0.52 0.66 0.73
05-09 14:30:40 2262M 0 0 852M 52.0 100 26 1.7 72 0 0 0 0.52 0.66 0.73
05-09 14:30:41 2264M 0 0 850M 52.0 100 27 2.1 71 0 0 0 0.64 0.68 0.74
05-09 14:30:42 2296M 0 0 818M 52.0 100 27 2.4 71 0 0 0 0.64 0.68 0.74
05-09 14:30:43 2242M 0 0 872M 52.0 100 14 3.4 82 0 0 0 0.64 0.68 0.74
05-09 14:30:44 2264M 0 0 850M 104 232 15 3.3 82 0 0 0 0.64 0.68 0.74
05-09 14:30:45 2260M 0 0 854M 0 100 26 2.6 71 0 0 0 0.64 0.68 0.74
05-09 14:30:46 2262M 0 0 853M 52.0 100 27 2.3 71 0 0 0 0.75 0.71 0.74
05-09 14:30:47 2269M 0 0 846M 52.0 100 25 1.9 73 0 0 0 0.75 0.71 0.74
05-09 14:30:48 2240M 0 0 874M 52.0 100 16 3.5 80 0 0 0 0.75 0.71 0.74
05-09 14:30:49 2251M 0 0 864M 52.0 132 16 2.3 0 468 0 0 0.75 0.71 0.74
05-09 14:30:50 2269M 0 0 846M 840 1104 27 2.0 403 0 0 0 0.75 0.71 0.74
05-09 14:30:51 2194M 0 0 921M 52.0 100 21 0.9 78 0 0 0 0.77 0.71 0.75
05-09 14:30:52 2201M 0 0 913M 52.0 116 14 0.7 0 489 0 0 0.77 0.71 0.75
05-09 14:30:53 2192M 0 0 922M 104 116 16 1.5 471 0 0 0 0.77 0.71 0.75
05-09 14:30:54 2168M 0 0 947M 52.0 100 2.7 1.3 96 0 0 0 0.77 0.71 0.75
05-09 14:30:55 2188M 0 0 926M 104 216 1.6 0.2 98 0 0 0 0.77 0.71 0.75
05-09 14:30:56 2194M 0 0 921M 0 100 17 0.2 83 0 0 0 0.79 0.71 0.75
05-09 14:30:57 2194M 0 0 921M 52.0 100 16 0.3 83 0 0 0 0.79 0.71 0.75
05-09 14:30:58 2194M 0 0 920M 52.0 100 18 0.2 82 0 0 0 0.79 0.71 0.75
05-09 14:30:59 2231M 0 0 884M 52.0 0 15 0.7 84 0 0 0 0.79 0.71 0.75
05-09 14:31:00 2168M 0 0 947M 52.0 200 0.6 0.4 99 0 0 0 0.79 0.71 0.75
05-09 14:31:01 2168M 0 0 947M 52.0 100 0 0 100 0 0 0 0.72 0.70 0.74
05-09 14:31:02 2176M 0 0 939M 52.0 132 1.4 0.2 98 0 0 0 0.72 0.70 0.74
05-09 14:31:03 2194M 0 0 920M 52.0 100 16 0.3 84 0 0 0 0.72 0.70 0.74
05-09 14:31:04 2194M 0 0 920M 52.0 0 16 0.5 83 0 0 0 0.72 0.70 0.74
05-09 14:31:05 2194M 0 0 920M 52.0 100 17 0.2 83 0 0 0 0.72 0.70 0.74
05-09 14:31:06 2194M 0 0 920M 52.0 100 17 0 83 0 0 0 0.75 0.71 0.74
05-09 14:31:07 2199M 0 0 916M 52.0 100 17 0.3 83 0 0 0 0.75 0.71 0.74
05-09 14:31:08 2194M 0 0 921M 104 216 17 1.5 81 0 0 0 0.75 0.71 0.74
05-09 14:31:09 2194M 0 0 921M 52.0 100 16 0.5 83 0 0 0 0.75 0.71 0.74
05-09 14:31:10 2194M 0 0 921M 52.0 100 16 0.5 83 0 0 0 0.75 0.71 0.74
05-09 14:31:11 2194M 0 0 921M 52.0 100 17 0.2 83 0 0 0 0.77 0.71 0.74
05-09 14:31:12 2196M 0 0 919M 52.0 100 17 0.3 82 0 0 0 0.77 0.71 0.74
05-09 14:31:13 2194M 0 0 921M 104 232 14 1.5 84 0 0 0 0.77 0.71 0.74
05-09 14:31:14 2194M 0 0 921M 52.0 100 17 0.5 82 0 0 0 0.77 0.71 0.74
05-09 14:31:15 2197M 0 0 917M 52.0 100 16 0.3 83 0 0 0 0.77 0.71 0.74
05-09 14:31:16 2168M 0 0 947M 52.0 100 3.4 1.0 96 0 0 0 0.70 0.70 0.74
05-09 14:31:17 2168M 0 0 947M 52.0 100 0 0 100 0 0 0 0.70 0.70 0.74
05-09 14:31:18 2194M 0 0 921M 52.0 132 8.1 0.4 92 0 0 0 0.70 0.70 0.74
05-09 14:31:19 2194M 0 0 921M 52.0 100 16 0.7 83 0 0 0 0.70 0.70 0.74
05-09 14:31:20 2196M 0 0 918M 52.0 100 17 0.2 83 0 0 0 0.70 0.70 0.74
05-09 14:31:21 2201M 0 0 913M 52.0 100 11 0.2 89 0 0 0 0.73 0.70 0.74
05-09 14:31:22 2168M 0 0 947M 52.0 100 13 2.2 84 0 0 0 0.73 0.70 0.74
05-09 14:31:23 2168M 0 0 947M 52.0 100 0 0 100 0 0 0 0.73 0.70 0.74
05-09 14:31:24 2194M 0 0 921M 52.0 132 4.4 0.8 95 0 0 0 0.73 0.70 0.74
05-09 14:31:25 2194M 0 0 920M 52.0 100 16 0.3 83 0 0 0 0.73 0.70 0.74
05-09 14:31:26 2194M 0 0 920M 52.0 100 18 0.3 82 0 0 0 0.83 0.73 0.75
05-09 14:31:27 2206M 0 0 908M 52.0 100 13 0.3 87 0 0 0 0.83 0.73 0.75
05-09 14:31:28 2212M 0 0 903M 0 0 17 0.3 83 0 0 0 0.83 0.73 0.75
05-09 14:31:29 2168M 0 0 947M 52.0 100 3.4 1.0 96 0 0 0 0.83 0.73 0.75
05-09 14:31:30 2194M 0 0 921M 104 232 6.2 0.6 93 0 0 0 0.83 0.73 0.75
05-09 14:31:31 2194M 0 0 921M 52.0 100 17 0.3 83 0 0 0 0.84 0.73 0.75
05-09 14:31:32 2194M 0 0 921M 52.0 100 16 0.3 83 0 0 0 0.84 0.73 0.75
05-09 14:31:33 2198M 0 0 916M 52.0 100 15 0.2 85 0 0 0 0.84 0.73 0.75
05-09 14:31:34 2168M 0 0 947M 52.0 100 4.5 0.9 95 0 0 0 0.84 0.73 0.75
05-09 14:31:35 2194M 0 0 921M 104 216 5.6 0.7 94 0 0 0 0.84 0.73 0.75
05-09 14:31:36 2194M 0 0 920M 52.0 100 17 0.3 83 0 0 0 0.86 0.73 0.75
05-09 14:31:37 2194M 0 0 920M 52.0 148 16 0.3 83 0 0 0 0.86 0.73 0.75
