[7l----system---- ------memory-usage----- -net/total- ----total-cpu-usage---- ---load-avg---
     time     | used  buff  cach  free| recv  send|usr sys idl wai hiq siq| 1m   5m  15m 
02-09 15:33:29|2123M    0     0   992M|   0     0 |0.2 0.0 100 0.0   0   0|0.08 0.22 0.18
02-09 15:33:30|2123M    0     0   992M| 220B  136B|0.2 0.2 100   0   0   0|0.08 0.22 0.18
02-09 15:33:31|2123M    0     0   992M| 272B  412B|  0   0 100   0   0   0|0.08 0.22 0.18
02-09 15:33:32|2123M    0     0   992M| 136B  100B|  0 0.2 100   0   0   0|0.08 0.22 0.17
02-09 15:33:33|2123M    0     0   992M|   0     0 |  0 0.4 100   0   0   0|0.08 0.22 0.17
02-09 15:33:34|2166M    0     0   948M| 136B 84.0B|9.8 0.7  89   0   0   0|0.08 0.22 0.17
02-09 15:33:35|2219M    0     0   896M| 676B  608B| 16 0.7  83   0   0   0|0.08 0.22 0.17
02-09 15:33:36|2205M    0     0   910M|1432B 1311B| 15 1.2  84   0   0   0|0.08 0.22 0.17
02-09 15:33:37|2249M    0     0   866M|   0     0 | 15 1.3  83   0   0   0|0.23 0.24 0.18
02-09 15:33:38|2239M    0     0   876M|35.4k 35.3k| 15 1.5  83   0   0   0|0.23 0.24 0.18
02-09 15:33:39|2253M    0     0   862M| 104B  983B| 16 0.5  83   0   0   0|0.23 0.24 0.18
02-09 15:33:40|2253M    0     0   862M|   0     0 | 17 0.2  83   0   0   0|0.23 0.24 0.18
02-09 15:33:41|2253M    0     0   862M|   0     0 | 17 0.2  83   0   0   0|0.23 0.24 0.18
02-09 15:33:42|2253M    0     0   861M| 772B 1036B| 17 1.1  82   0   0   0|0.29 0.26 0.19
02-09 15:33:43|2253M    0     0   861M|   0     0 | 17   0  83   0   0   0|0.29 0.26 0.19
02-09 15:33:44|2253M    0     0   861M|   0     0 | 17 0.2  83   0   0   0|0.29 0.26 0.19
02-09 15:33:45|2209M    0     0   906M|51.8k 51.7k| 16 1.2  83   0   0   0|0.29 0.26 0.19
02-09 15:33:46|2250M    0     0   865M|   0     0 | 16 1.0  83   0   0   0|0.29 0.26 0.19
02-09 15:33:47|2253M    0     0   862M|   0     0 | 17 0.5  83   0   0   0|0.35 0.27 0.19
02-09 15:33:48|2253M    0     0   862M|   0     0 | 17 0.2  83   0   0   0|0.35 0.27 0.19
02-09 15:33:49|2253M    0     0   862M| 156B 2431B| 17 0.2  83   0   0   0|0.35 0.27 0.19
02-09 15:33:50|2253M    0     0   862M|84.0B 84.0B| 17 0.5  82   0   0   0|0.35 0.27 0.19
02-09 15:33:51|2253M    0     0   862M|   0     0 | 17 0.2  83   0   0   0|0.35 0.27 0.19
02-09 15:33:52|2253M    0     0   862M|   0     0 | 17   0  83   0   0   0|0.40 0.28 0.20
02-09 15:33:53|2205M    0     0   909M|38.6k 38.6k| 16 1.2  83   0   0   0|0.40 0.28 0.20
02-09 15:33:54|2249M    0     0   865M|   0     0 | 16 1.2  83   0   0   0|0.40 0.28 0.20
