[7l----system---- ------memory-usage----- -net/total- ----total-cpu-usage---- ---load-avg---
     time     | used  buff  cach  free| recv  send|usr sys idl wai hiq siq| 1m   5m  15m 
02-09 16:50:35|2186M    0     0   929M|   0     0 |0.2 0.0 100 0.0   0   0|0.04 0.06 0.10
02-09 16:50:36|2186M    0     0   929M| 908B 1056B|0.2 0.2 100   0   0   0|0.04 0.06 0.10
02-09 16:50:37|2186M    0     0   929M| 136B  968B|  0 0.2 100   0   0   0|0.04 0.06 0.10
02-09 16:50:38|2122M    0     0   993M| 188B  184B|0.2 0.4  99   0   0   0|0.04 0.06 0.10
02-09 16:50:39|2122M    0     0   993M|   0     0 |  0   0 100   0   0   0|0.04 0.06 0.10
02-09 16:50:40|2122M    0     0   993M|   0     0 |0.2 0.2 100   0   0   0|0.04 0.06 0.10
02-09 16:50:41|2122M    0     0   993M|   0     0 |  0 0.2 100   0   0   0|0.04 0.06 0.10
02-09 16:50:42|2122M    0     0   993M| 772B 1020B|  0 0.2 100   0   0   0|0.04 0.06 0.10
02-09 16:50:43|2122M    0     0   993M|   0     0 |0.2   0 100   0   0   0|0.04 0.06 0.10
02-09 16:50:44|2122M    0     0   993M| 136B  100B|0.2 0.4  99   0   0   0|0.04 0.06 0.10
02-09 16:50:45|2124M    0     0   991M|84.0B    0 |0.2   0 100   0   0   0|0.03 0.06 0.10
02-09 16:50:46|2181M    0     0   934M| 136B  152B| 16 1.3  83   0   0   0|0.03 0.06 0.10
02-09 16:50:47|2186M    0     0   929M| 272B 1308B|3.8 0.2  96   0   0   0|0.03 0.06 0.10
02-09 16:50:48|2186M    0     0   929M|   0     0 |  0   0 100   0   0   0|0.03 0.06 0.10
02-09 16:50:49|2186M    0     0   929M|   0     0 |0.2 0.2 100   0   0   0|0.03 0.06 0.10
02-09 16:50:50|2186M    0     0   929M|   0     0 |  0 0.2 100   0   0   0|0.03 0.06 0.10
02-09 16:50:51|2223M    0     0   891M| 136B 84.0B|9.2 0.7  90   0   0   0|0.03 0.06 0.10
