[7l----system---- ------memory-usage----- -net/total- ----total-cpu-usage---- ---load-avg---
     time     | used  buff  cach  free| recv  send|usr sys idl wai hiq siq| 1m   5m  15m 
06-09 10:39:23|2105M    0     0  1009M|   0     0 |0.2 0.0 100 0.0   0   0|1.30 0.56 0.20
06-09 10:39:24|2105M    0     0  1009M| 220B  268B|  0   0 100   0   0   0|1.19 0.55 0.20
06-09 10:39:25|2105M    0     0  1009M|52.0B    0 |  0   0 100   0   0   0|1.19 0.55 0.20
06-09 10:39:26|2105M    0     0  1009M|   0     0 |  0   0 100   0   0   0|1.19 0.55 0.20
06-09 10:39:27|2105M    0     0  1009M|   0     0 |  0   0 100   0   0   0|1.19 0.55 0.20
06-09 10:39:28|2105M    0     0  1009M|   0     0 |  0 0.2 100   0   0   0|1.19 0.55 0.20
06-09 10:39:29|2105M    0     0  1009M|   0     0 |  0   0 100   0   0   0|1.10 0.54 0.20
06-09 10:39:30|2105M    0     0  1009M|   0     0 |  0   0 100   0   0   0|1.10 0.54 0.20
06-09 10:39:31|2152M    0     0   963M| 136B  100B| 11 1.1  88   0   0   0|1.10 0.54 0.20
06-09 10:39:32|2208M    0     0   907M| 948B  992B| 16 1.0  83   0   0   0|1.10 0.54 0.20
06-09 10:39:33|2171M    0     0   943M| 758B  693B| 10 0.7   - 514   0   0|1.10 0.54 0.20
06-09 10:39:34|2172M    0     0   942M| 136B  100B|0.8   0   0  99   0   0|1.09 0.55 0.20
06-09 10:39:35|2198M    0     0   916M| 136B 84.0B|6.3 0.7   0  93   0   0|1.09 0.55 0.20
06-09 10:39:36|2254M    0     0   860M| 676B  608B| 17 1.0   0  82   0   0|1.09 0.55 0.20
06-09 10:39:37|2298M    0     0   817M|52.0B  385B| 15 1.2   0  84   0   0|1.09 0.55 0.20
06-09 10:39:38|2289M    0     0   826M|1547B 1937B| 15 1.3   0  84   0   0|1.09 0.55 0.20
06-09 10:39:39|2285M    0     0   829M|31.3k 31.1k| 16 1.3   0  83   0   0|1.16 0.57 0.21
06-09 10:39:40|2306M    0     0   808M|84.0B 84.0B| 12 0.7   0  87   0   0|1.16 0.57 0.21
06-09 10:39:41|2315M    0     0   800M|52.0B  116B|3.3 0.6   0  96   0   0|1.16 0.57 0.21
06-09 10:39:42|2359M    0     0   756M| 913B 1883B| 21 0.6 453   -   0   0|1.16 0.57 0.21
06-09 10:39:43|2378M    0     0   737M|52.0B  100B| 25 0.9  74   0   0   0|1.16 0.57 0.21
06-09 10:39:44|2378M    0     0   737M|   0     0 | 15 0.3  84   0   0   0|1.15 0.58 0.21
06-09 10:39:45|2379M    0     0   735M| 104B  216B| 17 0.3   - 475   0   0|1.15 0.58 0.21
06-09 10:39:46|2379M    0     0   735M| 104B  200B| 26 0.4 423   -   0   0|1.15 0.58 0.21
06-09 10:39:47|2379M    0     0   735M| 788B 1020B| 28 0.9  71   0   0   0|1.15 0.58 0.21
06-09 10:39:48|2379M    0     0   735M|   0     0 | 29 0.3  71   0   0   0|1.15 0.58 0.21
06-09 10:39:49|2380M    0     0   735M|52.0B  100B| 29 0.4  71   0   0   0|1.22 0.60 0.22
06-09 10:39:50|2381M    0     0   734M| 156B  316B| 26 2.0  72   0   0   0|1.22 0.60 0.22
06-09 10:39:51|2345M    0     0   769M| 124k  123k| 26 2.2  72   0   0   0|1.22 0.60 0.22
06-09 10:39:52|2378M    0     0   737M| 396B 5071B| 18 1.3   - 469   0   0|1.22 0.60 0.22
06-09 10:39:53|2378M    0     0   737M| 188B  232B| 17 0.8 475   -   0   0|1.22 0.60 0.22
06-09 10:39:54|2382M    0     0   733M|   0     0 | 24 0.9  75   0   0   0|1.28 0.63 0.23
06-09 10:39:55|2382M    0     0   733M| 488B  352B| 29 0.3  71   0   0   0|1.28 0.63 0.23
06-09 10:39:56|2383M    0     0   732M| 608B 2032B| 29 1.0  70   0   0   0|1.28 0.63 0.23
06-09 10:39:57|2327M    0     0   788M|85.6k 85.6k| 26 2.3  72   0   0   0|1.28 0.63 0.23
06-09 10:39:58|2347M    0     0   767M|31.1k 31.0k| 26 1.7  72   0   0   0|1.28 0.63 0.23
06-09 10:39:59|2329M    0     0   786M|37.6k 37.7k| 26 1.2  72   0   0   0|1.34 0.65 0.24
06-09 10:40:00|2374M    0     0   740M|52.0B  328B| 28 1.0  71   0   0   0|1.34 0.65 0.24
06-09 10:40:01|2361M    0     0   754M|46.5k 46.3k| 27 1.7  71   0   0   0|1.34 0.65 0.24
06-09 10:40:02|2379M    0     0   736M| 520B 7451B| 23 1.4  76   0   0   0|1.34 0.65 0.24
06-09 10:40:03|2379M    0     0   736M|52.0B  228B| 18 0.3  82   0   0   0|1.34 0.65 0.24
06-09 10:40:04|2379M    0     0   736M|   0     0 | 17   0  83   0   0   0|1.31 0.65 0.25
06-09 10:40:05|2382M    0     0   733M|52.0B  180B| 19 0.5   - 468   0   0|1.31 0.65 0.25
06-09 10:40:06|2365M    0     0   749M|34.5k 34.7k| 27 1.0 414   -   0   0|1.31 0.65 0.25
06-09 10:40:07|2378M    0     0   736M|52.0B    0 | 20 0.6   - 456   0   0|1.31 0.65 0.25
06-09 10:40:08|2383M    0     0   732M|52.0B  212B| 19 0.2 464   -   0   0|1.31 0.65 0.25
06-09 10:40:09|2383M    0     0   732M| 188B  876B| 17 0.3  83   0   0   0|1.28 0.66 0.25
06-09 10:40:10|2329M    0     0   785M|35.9k 36.0k| 20 1.3  78   0   0   0|1.28 0.66 0.25
06-09 10:40:11|2377M    0     0   738M|   0     0 | 28 0.7  71   0   0   0|1.28 0.66 0.25
06-09 10:40:12|2381M    0     0   733M| 312B 5027B| 27 0.4  72   0   0   0|1.28 0.66 0.25
06-09 10:40:13|2382M    0     0   733M| 136B  164B| 28 0.3  71   0   0   0|1.28 0.66 0.25
06-09 10:40:14|2382M    0     0   733M| 828B  944B| 29 0.3  71   0   0   0|1.34 0.68 0.26
06-09 10:40:15|2382M    0     0   733M| 240B  956B| 28 0.6  71   0   0   0|1.34 0.68 0.26
06-09 10:40:16|2356M    0     0   759M|39.6k 39.4k| 26 1.2  72   0   0   0|1.34 0.68 0.26
06-09 10:40:17|2381M    0     0   734M|52.0B  308B| 26 0.9   - 419   0   0|1.34 0.68 0.26
06-09 10:40:18|2381M    0     0   734M| 324B 1140B| 28 1.0 407   -   0   0|1.34 0.68 0.26
06-09 10:40:19|2381M    0     0   734M| 772B 1036B| 28 0.4  71   0   0   0|1.39 0.70 0.27
06-09 10:40:20|2382M    0     0   733M|   0     0 | 29 0.3  71   0   0   0|1.39 0.70 0.27
06-09 10:40:21|2382M    0     0   732M| 208B  432B| 28 1.1  71   0   0   0|1.39 0.70 0.27
06-09 10:40:22|2382M    0     0   732M| 344B 5316B| 29 0.1  71   0   0   0|1.39 0.70 0.27
06-09 10:40:23|2382M    0     0   732M|   0     0 | 29 0.1  71   0   0   0|1.39 0.70 0.27
06-09 10:40:24|2382M    0     0   732M|52.0B  216B| 29 0.6   - 409   0   0|1.44 0.72 0.28
06-09 10:40:25|2332M    0     0   783M|83.1k 83.6k| 26 2.3 414   -   0   0|1.44 0.72 0.28
06-09 10:40:26|2348M    0     0   766M|31.1k 31.0k| 26 1.3  72   0   0   0|1.44 0.72 0.28
06-09 10:40:27|2377M    0     0   738M| 272B  664B| 27 0.9  72   0   0   0|1.44 0.72 0.28
06-09 10:40:28|2365M    0     0   749M|42.9k 42.6k| 28 1.0  71   0   0   0|1.44 0.72 0.28
06-09 10:40:29|2379M    0     0   735M|52.0B  100B| 21 0.6  78   0   0   0|1.49 0.75 0.29
