[7l----system---- ------memory-usage----- -net/total- ----total-cpu-usage---- ---load-avg---
     time     | used  buff  cach  free| recv  send|usr sys idl wai hiq siq| 1m   5m  15m 
05-09 11:38:41|2106M    0     0  1008M|   0     0 |0.2 0.0 100 0.0   0   0|   0    0 0.05
05-09 11:38:42|2106M    0     0  1008M| 136B 52.0B|0.2   0 100   0   0   0|   0    0 0.05
05-09 11:38:43|2106M    0     0  1008M| 136B  232B|  0   0 100   0   0   0|   0    0 0.05
05-09 11:38:44|2106M    0     0  1008M| 272B  200B|0.4 0.2  99   0   0   0|   0    0 0.05
05-09 11:38:45|2120M    0     0   994M| 136B 84.0B|2.9 1.0  96   0   0   0|   0    0 0.05
05-09 11:38:46|2170M    0     0   945M|84.0B 52.0B| 15 1.7  83   0   0   0|   0    0 0.05
05-09 11:38:47|2170M    0     0   945M| 324B 1184B| 17 0.3  83   0   0   0|   0    0 0.05
05-09 11:38:48|2170M    0     0   945M| 408B  284B| 17 0.2  83   0   0   0|0.08 0.02 0.05
05-09 11:38:49|2170M    0     0   945M| 136B  100B| 17   0  83   0   0   0|0.08 0.02 0.05
05-09 11:38:50|2170M    0     0   945M| 272B  200B| 17 0.2  83   0   0   0|0.08 0.02 0.05
05-09 11:38:51|2170M    0     0   945M| 408B  268B| 17   0  83   0   0   0|0.08 0.02 0.05
05-09 11:38:52|2170M    0     0   945M| 136B  100B| 17   0  83   0   0   0|0.08 0.02 0.05
05-09 11:38:53|2170M    0     0   945M| 272B  200B| 17 0.3  83   0   0   0|0.15 0.04 0.06
05-09 11:38:54|2170M    0     0   945M| 136B  100B| 17   0  83   0   0   0|0.15 0.04 0.06
05-09 11:38:55|2170M    0     0   945M|   0     0 | 17   0  83   0   0   0|0.15 0.04 0.06
05-09 11:38:56|2170M    0     0   945M| 136B  100B| 17 0.3  83   0   0   0|0.15 0.04 0.06
05-09 11:38:57|2170M    0     0   945M| 356B  740B| 17   0  83   0   0   0|0.15 0.04 0.06
05-09 11:38:58|2170M    0     0   945M| 136B  168B| 17   0  83   0   0   0|0.22 0.05 0.06
05-09 11:38:59|2170M    0     0   945M| 628B  564B| 17 0.3  83   0   0   0|0.22 0.05 0.06
05-09 11:39:00|2168M    0     0   947M| 544B  384B| 17 0.2  83   0   0   0|0.22 0.05 0.06
05-09 11:39:01|2168M    0     0   947M| 480B  797B| 17 0.2  83   0   0   0|0.22 0.05 0.06
05-09 11:39:02|2168M    0     0   946M|84.0B    0 | 17 0.2  83   0   0   0|0.22 0.05 0.06
05-09 11:39:03|2220M    0     0   895M|52.0B 84.0B| 28 1.0  71   0   0   0|0.36 0.08 0.07
05-09 11:39:04|2239M    0     0   875M|   0     0 | 26 2.3  72   0   0   0|0.36 0.08 0.07
05-09 11:39:05|2242M    0     0   873M|   0     0 | 27 1.9  71   0   0   0|0.36 0.08 0.07
05-09 11:39:06|2244M    0     0   871M|   0     0 | 26 2.3  71   0   0   0|0.36 0.08 0.07
05-09 11:39:07|2234M    0     0   880M|   0     0 | 25 3.3  71   0   0   0|0.36 0.08 0.07
05-09 11:39:08|2236M    0     0   879M|   0     0 | 26 3.1  71   0   0   0|0.49 0.12 0.08
05-09 11:39:09|2239M    0     0   876M|   0     0 | 26 2.4  71   0   0   0|0.49 0.12 0.08
05-09 11:39:10|2241M    0     0   873M|   0     0 | 26 2.7  71   0   0   0|0.49 0.12 0.08
05-09 11:39:11|2252M    0     0   862M|   0     0 | 26 2.8  71   0   0   0|0.49 0.12 0.08
05-09 11:39:12|2259M    0     0   855M|   0     0 | 35 3.0  63   0   0   0|0.49 0.12 0.08
05-09 11:39:13|2261M    0     0   854M|   0     0 | 35 2.7  62   0   0   0|0.69 0.16 0.10
05-09 11:39:14|2266M    0     0   849M|   0     0 | 33 2.8  64   0   0   0|0.69 0.16 0.10
05-09 11:39:15|2263M    0     0   851M|84.0B 52.0B| 35 2.3  63   0   0   0|0.69 0.16 0.10
05-09 11:39:16|2264M    0     0   850M| 136B  808B| 33 2.6   - 365   0   0|0.69 0.16 0.10
05-09 11:39:17|2266M    0     0   849M|   0     0 | 33 2.8 363   -   0   0|0.69 0.16 0.10
05-09 11:39:18|2235M    0     0   879M| 220B  200B| 30 3.0  67   0   0   0|0.88 0.21 0.11
05-09 11:39:19|2259M    0     0   856M| 272B  200B| 27 3.4  70   0   0   0|0.88 0.21 0.11
05-09 11:39:20|2263M    0     0   852M| 272B  100B| 35 2.2  62   0   0   0|0.88 0.21 0.11
05-09 11:39:21|2263M    0     0   851M| 188B  184B| 35 3.0  62   0   0   0|0.88 0.21 0.11
05-09 11:39:22|2269M    0     0   845M| 220B  344B| 35 2.6   - 356   0   0|0.88 0.21 0.11
05-09 11:39:23|2266M    0     0   848M| 156B  200B| 34 3.1 356   -   0   0|1.05 0.26 0.13
05-09 11:39:24|2272M    0     0   843M| 104B  300B| 31 3.3  65   0   0   0|1.05 0.26 0.13
05-09 11:39:25|2270M    0     0   844M| 156B  200B| 34 2.6  64   0   0   0|1.05 0.26 0.13
05-09 11:39:26|2309M    0     0   805M| 104B  200B| 34 3.4  63   0   0   0|1.05 0.26 0.13
05-09 11:39:27|2263M    0     0   852M| 156B  396B| 27 3.1  70   0   0   0|1.05 0.26 0.13
05-09 11:39:28|2266M    0     0   849M| 104B  200B| 35 2.2  62   0   0   0|1.20 0.30 0.14
05-09 11:39:29|2268M    0     0   847M| 104B  300B| 35 2.7  62   0   0   0|1.20 0.30 0.14
05-09 11:39:30|2279M    0     0   835M| 156B  200B| 34 2.9  63   0   0   0|1.20 0.30 0.14
05-09 11:39:31|2275M    0     0   840M| 104B  200B| 34 2.7   - 361   0   0|1.20 0.30 0.14
05-09 11:39:32|2274M    0     0   841M| 156B  300B| 33 3.1 362   -   0   0|1.20 0.30 0.14
05-09 11:39:33|2275M    0     0   839M| 104B  200B| 34 3.3  63   0   0   0|1.35 0.35 0.16
05-09 11:39:34|2240M    0     0   875M| 104B  300B| 32 3.6  64   0   0   0|1.35 0.35 0.16
05-09 11:39:35|2265M    0     0   850M| 156B  280B| 27 3.2  69   0   0   0|1.35 0.35 0.16
05-09 11:39:36|2266M    0     0   849M| 104B  200B| 35 2.5  63   0   0   0|1.35 0.35 0.16
05-09 11:39:37|2271M    0     0   844M| 156B  300B| 34 3.2  63   0   0   0|1.35 0.35 0.16
05-09 11:39:38|2272M    0     0   843M| 104B  200B| 33 2.6  64   0   0   0|1.48 0.39 0.18
05-09 11:39:39|2276M    0     0   838M| 104B  200B| 33 2.6   - 367   0   0|1.48 0.39 0.18
05-09 11:39:40|2277M    0     0   837M| 156B  300B| 33 2.7 366   -   0   0|1.48 0.39 0.18
05-09 11:39:41|2296M    0     0   818M| 104B  200B| 34 3.8  62   0   0   0|1.48 0.39 0.18
05-09 11:39:42|2241M    0     0   873M| 104B  200B| 26 3.9  70   0   0   0|1.48 0.39 0.18
05-09 11:39:43|2193M    0     0   922M| 928B 1400B| 24 3.5  73   0   0   0|1.52 0.42 0.18
05-09 11:39:44|2195M    0     0   920M|52.0B  132B| 28 0.3  71   0   0   0|1.52 0.42 0.18
05-09 11:39:45|2199M    0     0   915M|   0     0 | 27 0.1  73   0   0   0|1.52 0.42 0.18
05-09 11:39:46|2199M    0     0   915M| 788B 1020B| 27 0.6  73   0   0   0|1.52 0.42 0.18
05-09 11:39:47|2199M    0     0   915M|   0     0 | 26 0.1  74   0   0   0|1.52 0.42 0.18
05-09 11:39:48|2202M    0     0   912M|   0     0 | 28 0.1  72   0   0   0|1.56 0.44 0.19
05-09 11:39:49|2168M    0     0   946M|   0     0 | 24 1.3  75   0   0   0|1.56 0.44 0.19
05-09 11:39:50|2168M    0     0   946M|   0     0 | 17   0  83   0   0   0|1.56 0.44 0.19
05-09 11:39:51|2168M    0     0   946M|   0     0 | 17 0.2  83   0   0   0|1.56 0.44 0.19
05-09 11:39:52|2168M    0     0   946M|   0     0 | 17 0.2  83   0   0   0|1.56 0.44 0.19
05-09 11:39:53|2168M    0     0   946M|   0     0 | 17   0  83   0   0   0|1.51 0.45 0.20
05-09 11:39:54|2168M    0     0   946M| 168B  104B| 17 0.3  83   0   0   0|1.51 0.45 0.20
05-09 11:39:55|2168M    0     0   946M| 188B  348B| 17 0.3  83   0   0   0|1.51 0.45 0.20
05-09 11:39:56|2168M    0     0   946M| 188B  348B| 17 0.2  83   0   0   0|1.51 0.45 0.20
05-09 11:39:57|2168M    0     0   946M| 272B 1312B| 17 0.3  83   0   0   0|1.51 0.45 0.20
05-09 11:39:58|2168M    0     0   946M| 168B  364B| 17 0.2  83   0   0   0|1.47 0.46 0.20
05-09 11:39:59|2168M    0     0   946M|52.0B  260B| 17   0  83   0   0   0|1.47 0.46 0.20
05-09 11:40:00|2168M    0     0   946M|52.0B  100B| 17 0.2  83   0   0   0|1.47 0.46 0.20
05-09 11:40:01|2168M    0     0   946M| 816B  520B| 17 0.3  83   0   0   0|1.47 0.46 0.20
05-09 11:40:02|2168M    0     0   946M|84.0B 52.0B| 17   0  83   0   0   0|1.47 0.46 0.20
05-09 11:40:03|2168M    0     0   946M| 136B 1000B| 17 0.2  83   0   0   0|1.43 0.47 0.21
05-09 11:40:04|2168M    0     0   946M|84.0B    0 | 17 0.2  83   0   0   0|1.43 0.47 0.21
05-09 11:40:05|2168M    0     0   946M|84.0B  136B| 17   0  83   0   0   0|1.43 0.47 0.21
05-09 11:40:06|2168M    0     0   946M| 188B  924B| 17 0.2  83   0   0   0|1.43 0.47 0.21
05-09 11:40:07|2168M    0     0   946M|84.0B 52.0B| 17 0.2  83   0   0   0|1.43 0.47 0.21
05-09 11:40:08|2168M    0     0   946M| 240B 1680B| 17   0  83   0   0   0|1.40 0.48 0.21
05-09 11:40:09|2168M    0     0   946M|52.0B  164B| 17 0.2  83   0   0   0|1.40 0.48 0.21
05-09 11:40:10|2168M    0     0   946M|52.0B  132B| 17 0.2  83   0   0   0|1.40 0.48 0.21
05-09 11:40:11|2168M    0     0   946M|   0     0 | 17   0  83   0   0   0|1.40 0.48 0.21
05-09 11:40:12|2168M    0     0   946M| 136B  168B| 17 0.3  83   0   0   0|1.40 0.48 0.21
05-09 11:40:13|2168M    0     0   946M|52.0B  148B| 17 0.2  83   0   0   0|1.37 0.49 0.21
05-09 11:40:14|2168M    0     0   946M|   0     0 | 17   0  83   0   0   0|1.37 0.49 0.21
05-09 11:40:15|2168M    0     0   946M|52.0B  132B| 17 0.2  83   0   0   0|1.37 0.49 0.21
05-09 11:40:16|2169M    0     0   946M| 824B 1152B| 17 0.2  83   0   0   0|1.37 0.49 0.21
05-09 11:40:17|2168M    0     0   946M|   0     0 | 17   0  83   0   0   0|1.37 0.49 0.21
