[7l----system---- ------memory-usage----- -net/total- ----total-cpu-usage---- ---load-avg---
     time     | used  buff  cach  free| recv  send|usr sys idl wai hiq siq| 1m   5m  15m 
02-09 14:55:09|2123M    0     0   992M|   0     0 |0.2 0.0 100 0.0   0   0|0.02 0.20 0.24
02-09 14:55:10|2123M    0     0   992M| 188B 52.0B|  0 0.2 100   0   0   0|0.02 0.20 0.24
02-09 14:55:11|2123M    0     0   992M| 292B  756B|0.2 0.2 100   0   0   0|0.02 0.20 0.24
02-09 14:55:12|2123M    0     0   992M|   0     0 |0.2   0 100   0   0   0|0.02 0.20 0.24
02-09 14:55:13|2123M    0     0   992M|   0     0 |0.2   0 100   0   0   0|0.02 0.20 0.24
02-09 14:55:14|2142M    0     0   973M| 136B  100B|4.2 0.6  95   0   0   0|0.02 0.20 0.24
02-09 14:55:15|2187M    0     0   928M|84.0B 52.0B| 15 1.3  84   0   0   0|0.10 0.21 0.24
02-09 14:55:16|2187M    0     0   928M| 136B 1240B|0.2   0 100   0   0   0|0.10 0.21 0.24
02-09 14:55:17|2187M    0     0   928M|   0     0 |  0 0.2 100   0   0   0|0.10 0.21 0.24
02-09 14:55:18|2187M    0     0   928M|   0     0 |0.2   0 100   0   0   0|0.10 0.21 0.24
02-09 14:55:19|2187M    0     0   928M|   0     0 |  0   0 100   0   0   0|0.10 0.21 0.24
02-09 14:55:20|2187M    0     0   928M|   0     0 |  0 0.2 100   0   0   0|0.09 0.21 0.24
02-09 14:55:21|2227M    0     0   888M| 136B 84.0B| 10 0.9  89   0   0   0|0.09 0.21 0.24
02-09 14:55:22|2279M    0     0   836M| 676B  608B| 16 1.0  83   0   0   0|0.09 0.21 0.24
02-09 14:55:23|2266M    0     0   848M|1431B 1310B| 15 1.5  83   0   0   0|0.09 0.21 0.24
02-09 14:55:24|2308M    0     0   807M|   0     0 | 15 1.3  83   0   0   0|0.09 0.21 0.24
02-09 14:55:25|2298M    0     0   817M|37.7k 37.6k| 15 1.5  83   0   0   0|0.16 0.22 0.24
02-09 14:55:26|2293M    0     0   822M|37.4k 37.3k| 15 2.0  83   0   0   0|0.16 0.22 0.24
02-09 14:55:27|2281M    0     0   834M|37.7k 37.6k| 15 1.7  83   0   0   0|0.16 0.22 0.24
02-09 14:55:28|2265M    0     0   850M|37.6k 39.2k| 16 0.8  83   0   0   0|0.16 0.22 0.24
02-09 14:55:29|2308M    0     0   807M|   0     0 | 15 1.7  83   0   0   0|0.16 0.22 0.24
02-09 14:55:30|2297M    0     0   818M|40.1k 40.0k| 15 1.3  83   0   0   0|0.23 0.23 0.25
02-09 14:55:31|2293M    0     0   822M|31.1k 31.0k| 15 1.8  83   0   0   0|0.23 0.23 0.25
02-09 14:55:32|2282M    0     0   833M|37.4k 37.3k| 16 1.3  83   0   0   0|0.23 0.23 0.25
02-09 14:55:33|2264M    0     0   851M|38.5k 38.6k| 16 1.0  83   0   0   0|0.23 0.23 0.25
02-09 14:55:34|2308M    0     0   806M|   0     0 | 16 1.0  83   0   0   0|0.23 0.23 0.25
02-09 14:55:35|2296M    0     0   819M|43.8k 43.8k| 16 1.3  83   0   0   0|0.29 0.25 0.25
02-09 14:55:36|2314M    0     0   801M|   0     0 | 15 2.0  83   0   0   0|0.29 0.25 0.25
02-09 14:55:37|2295M    0     0   819M|36.5k 36.6k| 15 1.3  83   0   0   0|0.29 0.25 0.25
02-09 14:55:38|2309M    0     0   805M| 260B 5091B| 15 2.0  83   0   0   0|0.29 0.25 0.25
02-09 14:55:39|2294M    0     0   820M|34.5k 34.3k| 15 1.7  83   0   0   0|0.29 0.25 0.25
02-09 14:55:40|2284M    0     0   830M|37.5k 37.4k| 16 1.3  83   0   0   0|0.35 0.26 0.26
02-09 14:55:41|2268M    0     0   847M|37.7k 37.6k| 15 1.5  83   0   0   0|0.35 0.26 0.26
02-09 14:55:42|2251M    0     0   864M|37.4k 37.3k| 15 1.3  83   0   0   0|0.35 0.26 0.26
02-09 14:55:43|2302M    0     0   813M|   0     0 | 15 1.2  84   0   0   0|0.35 0.26 0.26
02-09 14:55:44|2295M    0     0   820M|37.7k 37.6k| 16 1.5  83   0   0   0|0.35 0.26 0.26
02-09 14:55:45|2320M    0     0   795M|   0     0 | 15 1.7  83   0   0   0|0.40 0.27 0.26
02-09 14:55:46|2294M    0     0   821M|35.8k 35.6k| 15 1.8  83   0   0   0|0.40 0.27 0.26
02-09 14:55:47|2318M    0     0   797M|   0     0 | 15 1.8  83   0   0   0|0.40 0.27 0.26
02-09 14:55:48|2292M    0     0   823M|41.0k 46.3k| 15 2.0  83   0   0   0|0.40 0.27 0.26
02-09 14:55:49|2280M    0     0   835M|35.0k 34.9k| 15 1.5  83   0   0   0|0.40 0.27 0.26
02-09 14:55:50|2262M    0     0   852M|37.7k 37.6k| 15 1.3  83   0   0   0|0.45 0.28 0.26
02-09 14:55:51|2308M    0     0   806M|   0     0 | 16 0.7  83   0   0   0|0.45 0.28 0.26
02-09 14:55:52|2297M    0     0   818M|35.0k 34.9k| 15 1.3  84   0   0   0|0.45 0.28 0.26
02-09 14:55:53|2313M    0     0   802M|   0     0 | 15 1.7  83   0   0   0|0.45 0.28 0.26
02-09 14:55:54|2296M    0     0   819M|1399B 1317B| 16 1.0  83   0   0   0|0.45 0.28 0.26
02-09 14:55:55|2312M    0     0   803M|84.0B    0 | 15 2.0  83   0   0   0|0.49 0.29 0.27
02-09 14:55:56|2278M    0     0   837M|1552B 1954B| 14 2.8  83   0   0   0|0.49 0.29 0.27
02-09 14:55:57|2316M    0     0   799M|   0   100B| 15 0.8  84   0   0   0|0.49 0.29 0.27
02-09 14:55:58|2267M    0     0   848M|1866B 8418B| 14 2.3  83   0   0   0|0.49 0.29 0.27
02-09 14:55:59|2308M    0     0   806M|52.0B  100B| 16 1.0   - 452   0   0|0.49 0.29 0.27
02-09 14:56:00|2263M    0     0   851M|1555B 1601B| 15 2.0 452   -   0   0|0.53 0.31 0.27
02-09 14:56:01|2309M    0     0   806M| 104B  200B| 16 0.8  83   0   0   0|0.53 0.31 0.27
02-09 14:56:02|2309M    0     0   806M| 156B  184B| 15 1.8  83   0   0   0|0.53 0.31 0.27
02-09 14:56:03|2288M    0     0   826M|1487B 1553B| 15 1.3  83   0   0   0|0.53 0.31 0.27
02-09 14:56:04|2318M    0     0   796M| 104B  200B| 16 1.5  83   0   0   0|0.53 0.31 0.27
02-09 14:56:05|2254M    0     0   860M|1589B 1635B| 15 2.0  83   0   0   0|0.57 0.32 0.28
02-09 14:56:06|2312M    0     0   803M|52.0B  264B| 16 1.7  83   0   0   0|0.57 0.32 0.28
02-09 14:56:07|2344M    0     0   770M| 208B  284B| 28 1.8  70   0   0   0|0.57 0.32 0.28
02-09 14:56:08|2311M    0     0   804M|1884B 9121B| 26 2.0  72   0   0   0|0.57 0.32 0.28
02-09 14:56:09|2364M    0     0   751M|52.0B  100B| 25 1.6  73   0   0   0|0.57 0.32 0.28
02-09 14:56:10|2278M    0     0   836M|1501B 1499B| 16 2.0  82   0   0   0|0.60 0.33 0.28
02-09 14:56:11|2310M    0     0   804M|52.0B  200B| 16 0.8  83   0   0   0|0.60 0.33 0.28
02-09 14:56:12|2278M    0     0   837M|1555B 1501B| 15 1.7  83   0   0   0|0.60 0.33 0.28
02-09 14:56:13|2320M    0     0   795M|52.0B  100B| 15 1.8  83   0   0   0|0.60 0.33 0.28
02-09 14:56:14|2320M    0     0   795M| 208B  368B| 15 1.8  83   0   0   0|0.60 0.33 0.28
02-09 14:56:15|2299M    0     0   816M|1486B 1452B| 16 1.2  83   0   0   0|0.63 0.34 0.28
02-09 14:56:16|2320M    0     0   795M| 156B  284B| 15 1.8  83   0   0   0|0.63 0.34 0.28
