[7l----system---- ------memory-usage----- -net/total- ----total-cpu-usage---- ---load-avg---
     time     | used  buff  cach  free| recv  send|usr sys idl wai hiq siq| 1m   5m  15m 
30-08 11:03:55|2099M    0     0  1015M|   0     0 |0.1 0.0 100 0.0   0   0|0.04 0.20 0.32
30-08 11:03:56|2099M    0     0  1015M|84.0B 52.0B|  0   0 100   0   0   0|0.04 0.20 0.32
30-08 11:03:57|2099M    0     0  1015M| 188B 1036B|0.2   0 100   0   0   0|0.04 0.19 0.32
30-08 11:03:58|2099M    0     0  1015M|   0     0 |  0   0 100   0   0   0|0.04 0.19 0.32
30-08 11:03:59|2123M    0     0   992M| 136B  100B|4.9 0.6  95   0   0   0|0.04 0.19 0.32
30-08 11:04:00|2163M    0     0   951M|52.0B  100B| 14 0.7  85   0   0   0|0.04 0.19 0.32
30-08 11:04:01|2163M    0     0   951M|84.0B 52.0B|  0   0 100   0   0   0|0.04 0.19 0.32
30-08 11:04:02|2163M    0     0   951M| 136B  248B|  0   0 100   0   0   0|0.03 0.19 0.32
30-08 11:04:03|2166M    0     0   948M|84.0B  100B|0.8   0  99   0   0   0|0.03 0.19 0.32
30-08 11:04:04|2218M    0     0   896M|52.0B    0 | 16 0.7  83   0   0   0|0.03 0.19 0.32
30-08 11:04:05|2271M    0     0   844M| 760B  660B| 16 0.8  83   0   0   0|0.03 0.19 0.32
30-08 11:04:06|2247M    0     0   868M| 758B 1353B| 14 2.5  84   0   0   0|0.03 0.19 0.32
30-08 11:04:07|2278M    0     0   837M|   0     0 | 13 2.7  84   0   0   0|0.11 0.20 0.32
30-08 11:04:08|2314M    0     0   801M|   0     0 | 15 2.0  83   0   0   0|0.11 0.20 0.32
30-08 11:04:09|2345M    0     0   769M|   0     0 | 15 2.6  82   0   0   0|0.11 0.20 0.32
30-08 11:04:10|2375M    0     0   739M|   0     0 | 15 3.0  82   0   0   0|0.11 0.20 0.32
30-08 11:04:11|2426M    0     0   688M| 809B  717B| 16 1.3  83   0   0   0|0.11 0.20 0.32
30-08 11:04:12|2404M    0     0   710M|58.5k 58.3k| 15 1.7  83   0   0   0|0.18 0.22 0.32
30-08 11:04:13|2448M    0     0   667M|   0     0 | 16 1.0  83   0   0   0|0.18 0.22 0.32
30-08 11:04:14|2401M    0     0   714M|34.7k 35.7k| 15 1.7  84   0   0   0|0.18 0.22 0.32
30-08 11:04:15|2441M    0     0   673M|   0     0 | 15 1.3  83   0   0   0|0.18 0.22 0.32
30-08 11:04:16|2391M    0     0   723M|37.4k 37.3k| 15 1.8  83   0   0   0|0.18 0.22 0.32
30-08 11:04:17|2436M    0     0   678M|   0     0 | 16 1.0  83   0   0   0|0.25 0.23 0.33
30-08 11:04:18|2423M    0     0   691M|47.6k 47.4k| 15 1.7  83   0   0   0|0.25 0.23 0.33
30-08 11:04:19|2445M    0     0   669M|   0     0 | 11 0.9  88   0   0   0|0.25 0.23 0.33
30-08 11:04:20|2425M    0     0   690M|55.3k 55.1k| 15 1.5  83   0   0   0|0.25 0.23 0.33
30-08 11:04:21|2449M    0     0   666M| 104B  200B| 15 1.0  84   0   0   0|0.25 0.23 0.33
30-08 11:04:22|2424M    0     0   691M|35.8k 35.7k| 16 1.0  83   0   0   0|0.31 0.24 0.33
30-08 11:04:23|2446M    0     0   668M| 104B  200B| 15 1.3  83   0   0   0|0.31 0.24 0.33
30-08 11:04:24|2384M    0     0   730M|54.9k 61.9k| 14 3.3  83   0   0   0|0.31 0.24 0.33
30-08 11:04:25|2435M    0     0   680M|   0     0 | 15 1.3  83   0   0   0|0.31 0.24 0.33
30-08 11:04:26|2424M    0     0   691M|44.2k 44.1k| 15 1.2  83   0   0   0|0.31 0.24 0.33
30-08 11:04:27|2442M    0     0   672M| 104B  200B| 16 0.8  83   0   0   0|0.36 0.25 0.33
30-08 11:04:28|2418M    0     0   696M|38.6k 38.6k| 15 1.5  83   0   0   0|0.36 0.25 0.33
30-08 11:04:29|2402M    0     0   713M|31.1k 31.1k| 15 1.3  83   0   0   0|0.36 0.25 0.33
30-08 11:04:30|2444M    0     0   670M|52.0B  100B| 16 0.5  83   0   0   0|0.36 0.25 0.33
30-08 11:04:31|2447M    0     0   668M| 156B  284B| 15 2.2  83   0   0   0|0.36 0.25 0.33
30-08 11:04:32|2439M    0     0   675M| 156B  268B| 14 2.7  83   0   0   0|0.41 0.27 0.34
30-08 11:04:33|2428M    0     0   686M|43.5k 43.3k| 16 1.5  83   0   0   0|0.41 0.27 0.34
