[7l----system---- ------memory-usage----- -net/total- ----total-cpu-usage---- ---load-avg---
     time     | used  buff  cach  free| recv  send|usr sys idl wai hiq siq| 1m   5m  15m 
05-09 14:30:02|2104M    0     0  1011M|   0     0 |0.2 0.0 100 0.0   0   0|0.09 0.62 0.72
05-09 14:30:03|2104M    0     0  1011M| 188B 52.0B|  0   0 100   0   0   0|0.09 0.62 0.72
05-09 14:30:04|2104M    0     0  1011M| 272B  396B|  0   0 100   0   0   0|0.09 0.62 0.72
05-09 14:30:05|2104M    0     0  1011M| 220B  204B|0.2   0 100   0   0   0|0.09 0.62 0.72
05-09 14:30:06|2131M    0     0   983M| 136B 84.0B|5.8 0.7  93   0   0   0|0.09 0.61 0.72
05-09 14:30:07|2168M    0     0   947M|   0     0 | 13 0.7  86   0   0   0|0.09 0.61 0.72
05-09 14:30:08|2168M    0     0   946M| 220B  236B|  0   0 100   0   0   0|0.09 0.61 0.72
05-09 14:30:09|2168M    0     0   947M|   0     0 |  0   0 100   0   0   0|0.09 0.61 0.72
05-09 14:30:10|2168M    0     0   947M|   0     0 |  0   0 100   0   0   0|0.09 0.61 0.72
05-09 14:30:11|2203M    0     0   911M| 136B  100B|8.2 0.7  91   0   0   0|0.16 0.62 0.72
05-09 14:30:12|2243M    0     0   871M|   0     0 | 16 1.2  83   0   0   0|0.16 0.62 0.72
05-09 14:30:13|2232M    0     0   882M|   0     0 | 14 2.7  83   0   0   0|0.16 0.62 0.72
05-09 14:30:14|2236M    0     0   879M|   0     0 | 14 2.8  83   0   0   0|0.16 0.62 0.72
05-09 14:30:15|2238M    0     0   877M|84.0B 52.0B| 14 2.2  83   0   0   0|0.16 0.62 0.72
05-09 14:30:16|2240M    0     0   874M| 136B  808B| 15 2.0  83   0   0   0|0.23 0.62 0.72
05-09 14:30:17|2242M    0     0   873M| 772B 1036B| 14 2.3  83   0   0   0|0.23 0.62 0.72
05-09 14:30:18|2244M    0     0   871M|52.0B  100B| 14 2.5  83   0   0   0|0.23 0.62 0.72
05-09 14:30:19|2235M    0     0   880M|52.0B  100B| 15 2.0  83   0   0   0|0.23 0.62 0.72
05-09 14:30:20|2237M    0     0   877M|52.0B  100B| 15 2.2  83   0   0   0|0.23 0.62 0.72
05-09 14:30:21|2241M    0     0   874M|52.0B  100B| 14 2.5  83   0   0   0|0.29 0.63 0.72
05-09 14:30:22|2268M    0     0   847M|52.0B  148B| 16 3.4  80   0   0   0|0.29 0.63 0.72
05-09 14:30:23|2270M    0     0   845M|52.0B  100B| 26 2.1  72   0   0   0|0.29 0.63 0.72
05-09 14:30:24|2266M    0     0   849M|52.0B  100B| 24 1.6  75   0   0   0|0.29 0.63 0.72
05-09 14:30:25|2234M    0     0   880M|52.0B  100B| 23 3.5  74   0   0   0|0.29 0.63 0.72
05-09 14:30:26|2237M    0     0   877M|52.0B  100B| 15 2.2  83   0   0   0|0.34 0.63 0.72
05-09 14:30:27|2264M    0     0   851M| 104B  216B| 16 2.9  81   0   0   0|0.34 0.63 0.72
05-09 14:30:28|2265M    0     0   849M|52.0B  100B| 26 2.0  72   0   0   0|0.34 0.63 0.72
05-09 14:30:29|2267M    0     0   847M|52.0B  100B| 26 2.8  71   0   0   0|0.34 0.63 0.72
05-09 14:30:30|2242M    0     0   873M|52.0B  100B| 23 2.7  75   0   0   0|0.34 0.63 0.72
05-09 14:30:31|2244M    0     0   871M|   0     0 | 14 2.8  83   0   0   0|0.40 0.64 0.72
05-09 14:30:32|2234M    0     0   881M|52.0B  100B| 14 2.8  83   0   0   0|0.40 0.64 0.72
05-09 14:30:33|2236M    0     0   878M|52.0B  100B| 15 2.0  83   0   0   0|0.40 0.64 0.72
05-09 14:30:34|2262M    0     0   853M|52.0B  148B| 16 2.8  81   0   0   0|0.40 0.64 0.72
05-09 14:30:35|2265M    0     0   849M| 136B  184B| 27 2.0  71   0   0   0|0.40 0.64 0.72
05-09 14:30:36|2269M    0     0   846M|52.0B  100B| 26 2.3  72   0   0   0|0.52 0.66 0.73
05-09 14:30:37|2242M    0     0   873M|52.0B  100B| 24 2.5  74   0   0   0|0.52 0.66 0.73
05-09 14:30:38|2244M    0     0   871M| 824B 1152B| 14 2.7  83   0   0   0|0.52 0.66 0.73
05-09 14:30:39|2254M    0     0   860M|52.0B  132B| 16 2.9  81   0   0   0|0.52 0.66 0.73
05-09 14:30:40|2262M    0     0   852M|52.0B  100B| 26 1.7  72   0   0   0|0.52 0.66 0.73
05-09 14:30:41|2264M    0     0   850M|52.0B  100B| 27 2.1  71   0   0   0|0.64 0.68 0.74
05-09 14:30:42|2296M    0     0   818M|52.0B  100B| 27 2.4  71   0   0   0|0.64 0.68 0.74
05-09 14:30:43|2242M    0     0   872M|52.0B  100B| 14 3.4  82   0   0   0|0.64 0.68 0.74
05-09 14:30:44|2264M    0     0   850M| 104B  232B| 15 3.3  82   0   0   0|0.64 0.68 0.74
05-09 14:30:45|2260M    0     0   854M|   0   100B| 26 2.6  71   0   0   0|0.64 0.68 0.74
05-09 14:30:46|2262M    0     0   853M|52.0B  100B| 27 2.3  71   0   0   0|0.75 0.71 0.74
05-09 14:30:47|2269M    0     0   846M|52.0B  100B| 25 1.9  73   0   0   0|0.75 0.71 0.74
05-09 14:30:48|2240M    0     0   874M|52.0B  100B| 16 3.5  80   0   0   0|0.75 0.71 0.74
05-09 14:30:49|2251M    0     0   864M|52.0B  132B| 16 2.3   - 468   0   0|0.75 0.71 0.74
05-09 14:30:50|2269M    0     0   846M| 840B 1104B| 27 2.0 403   -   0   0|0.75 0.71 0.74
05-09 14:30:51|2194M    0     0   921M|52.0B  100B| 21 0.9  78   0   0   0|0.77 0.71 0.75
05-09 14:30:52|2201M    0     0   913M|52.0B  116B| 14 0.7   - 489   0   0|0.77 0.71 0.75
05-09 14:30:53|2192M    0     0   922M| 104B  116B| 16 1.5 471   -   0   0|0.77 0.71 0.75
05-09 14:30:54|2168M    0     0   947M|52.0B  100B|2.7 1.3  96   0   0   0|0.77 0.71 0.75
05-09 14:30:55|2188M    0     0   926M| 104B  216B|1.6 0.2  98   0   0   0|0.77 0.71 0.75
05-09 14:30:56|2194M    0     0   921M|   0   100B| 17 0.2  83   0   0   0|0.79 0.71 0.75
05-09 14:30:57|2194M    0     0   921M|52.0B  100B| 16 0.3  83   0   0   0|0.79 0.71 0.75
05-09 14:30:58|2194M    0     0   920M|52.0B  100B| 18 0.2  82   0   0   0|0.79 0.71 0.75
05-09 14:30:59|2231M    0     0   884M|52.0B    0 | 15 0.7  84   0   0   0|0.79 0.71 0.75
05-09 14:31:00|2168M    0     0   947M|52.0B  200B|0.6 0.4  99   0   0   0|0.79 0.71 0.75
05-09 14:31:01|2168M    0     0   947M|52.0B  100B|  0   0 100   0   0   0|0.72 0.70 0.74
05-09 14:31:02|2176M    0     0   939M|52.0B  132B|1.4 0.2  98   0   0   0|0.72 0.70 0.74
05-09 14:31:03|2194M    0     0   920M|52.0B  100B| 16 0.3  84   0   0   0|0.72 0.70 0.74
05-09 14:31:04|2194M    0     0   920M|52.0B    0 | 16 0.5  83   0   0   0|0.72 0.70 0.74
05-09 14:31:05|2194M    0     0   920M|52.0B  100B| 17 0.2  83   0   0   0|0.72 0.70 0.74
05-09 14:31:06|2194M    0     0   920M|52.0B  100B| 17   0  83   0   0   0|0.75 0.71 0.74
05-09 14:31:07|2199M    0     0   916M|52.0B  100B| 17 0.3  83   0   0   0|0.75 0.71 0.74
05-09 14:31:08|2194M    0     0   921M| 104B  216B| 17 1.5  81   0   0   0|0.75 0.71 0.74
05-09 14:31:09|2194M    0     0   921M|52.0B  100B| 16 0.5  83   0   0   0|0.75 0.71 0.74
05-09 14:31:10|2194M    0     0   921M|52.0B  100B| 16 0.5  83   0   0   0|0.75 0.71 0.74
05-09 14:31:11|2194M    0     0   921M|52.0B  100B| 17 0.2  83   0   0   0|0.77 0.71 0.74
05-09 14:31:12|2196M    0     0   919M|52.0B  100B| 17 0.3  82   0   0   0|0.77 0.71 0.74
05-09 14:31:13|2194M    0     0   921M| 104B  232B| 14 1.5  84   0   0   0|0.77 0.71 0.74
05-09 14:31:14|2194M    0     0   921M|52.0B  100B| 17 0.5  82   0   0   0|0.77 0.71 0.74
05-09 14:31:15|2197M    0     0   917M|52.0B  100B| 16 0.3  83   0   0   0|0.77 0.71 0.74
05-09 14:31:16|2168M    0     0   947M|52.0B  100B|3.4 1.0  96   0   0   0|0.70 0.70 0.74
05-09 14:31:17|2168M    0     0   947M|52.0B  100B|  0   0 100   0   0   0|0.70 0.70 0.74
05-09 14:31:18|2194M    0     0   921M|52.0B  132B|8.1 0.4  92   0   0   0|0.70 0.70 0.74
05-09 14:31:19|2194M    0     0   921M|52.0B  100B| 16 0.7  83   0   0   0|0.70 0.70 0.74
05-09 14:31:20|2196M    0     0   918M|52.0B  100B| 17 0.2  83   0   0   0|0.70 0.70 0.74
05-09 14:31:21|2201M    0     0   913M|52.0B  100B| 11 0.2  89   0   0   0|0.73 0.70 0.74
05-09 14:31:22|2168M    0     0   947M|52.0B  100B| 13 2.2  84   0   0   0|0.73 0.70 0.74
05-09 14:31:23|2168M    0     0   947M|52.0B  100B|  0   0 100   0   0   0|0.73 0.70 0.74
05-09 14:31:24|2194M    0     0   921M|52.0B  132B|4.4 0.8  95   0   0   0|0.73 0.70 0.74
05-09 14:31:25|2194M    0     0   920M|52.0B  100B| 16 0.3  83   0   0   0|0.73 0.70 0.74
05-09 14:31:26|2194M    0     0   920M|52.0B  100B| 18 0.3  82   0   0   0|0.83 0.73 0.75
05-09 14:31:27|2206M    0     0   908M|52.0B  100B| 13 0.3  87   0   0   0|0.83 0.73 0.75
05-09 14:31:28|2212M    0     0   903M|   0     0 | 17 0.3  83   0   0   0|0.83 0.73 0.75
05-09 14:31:29|2168M    0     0   947M|52.0B  100B|3.4 1.0  96   0   0   0|0.83 0.73 0.75
05-09 14:31:30|2194M    0     0   921M| 104B  232B|6.2 0.6  93   0   0   0|0.83 0.73 0.75
05-09 14:31:31|2194M    0     0   921M|52.0B  100B| 17 0.3  83   0   0   0|0.84 0.73 0.75
05-09 14:31:32|2194M    0     0   921M|52.0B  100B| 16 0.3  83   0   0   0|0.84 0.73 0.75
05-09 14:31:33|2198M    0     0   916M|52.0B  100B| 15 0.2  85   0   0   0|0.84 0.73 0.75
05-09 14:31:34|2168M    0     0   947M|52.0B  100B|4.5 0.9  95   0   0   0|0.84 0.73 0.75
05-09 14:31:35|2194M    0     0   921M| 104B  216B|5.6 0.7  94   0   0   0|0.84 0.73 0.75
05-09 14:31:36|2194M    0     0   920M|52.0B  100B| 17 0.3  83   0   0   0|0.86 0.73 0.75
05-09 14:31:37|2194M    0     0   920M|52.0B  148B| 16 0.3  83   0   0   0|0.86 0.73 0.75
05-09 14:31:38|2198M    0     0   916M|52.0B  100B| 15 0.5  85   0   0   0|0.86 0.73 0.75
05-09 14:31:39|2168M    0     0   947M|52.0B  100B| 13 1.4  86   0   0   0|0.86 0.73 0.75
05-09 14:31:40|2194M    0     0   921M| 104B  216B|6.5 0.6  93   0   0   0|0.86 0.73 0.75
05-09 14:31:41|2194M    0     0   920M|52.0B  100B| 16 0.2  84   0   0   0|0.87 0.74 0.75
05-09 14:31:42|2194M    0     0   920M|52.0B  100B| 16 0.5  83   0   0   0|0.87 0.74 0.75
05-09 14:31:43|2194M    0     0   920M|52.0B  100B| 17 0.2  83   0   0   0|0.87 0.74 0.75
05-09 14:31:44|2199M    0     0   915M|52.0B  100B| 15 0.2  85   0   0   0|0.87 0.74 0.75
05-09 14:31:45|2194M    0     0   921M| 104B  232B|8.6 1.6  90   0   0   0|0.87 0.74 0.75
05-09 14:31:46|2194M    0     0   920M|52.0B  100B| 17 0.3  83   0   0   0|0.88 0.74 0.75
05-09 14:31:47|2194M    0     0   920M|52.0B  100B| 16 0.8  83   0   0   0|0.88 0.74 0.75
05-09 14:31:48|2194M    0     0   920M|52.0B  100B| 17   0  83   0   0   0|0.88 0.74 0.75
05-09 14:31:49|2214M    0     0   900M|52.0B  100B| 17 1.0  82   0   0   0|0.88 0.74 0.75
05-09 14:31:50|2194M    0     0   921M|52.0B  132B|7.7 0.9  91   0   0   0|0.88 0.74 0.75
05-09 14:31:51|2194M    0     0   921M|52.0B  100B| 17 0.2  83   0   0   0|0.89 0.75 0.75
05-09 14:31:52|2194M    0     0   921M|52.0B  100B| 16 0.7  83   0   0   0|0.89 0.75 0.75
05-09 14:31:53|2194M    0     0   921M|52.0B  100B| 17   0  83   0   0   0|0.89 0.75 0.75
05-09 14:31:54|2197M    0     0   917M|52.0B  100B| 17 0.3  83   0   0   0|0.89 0.75 0.75
05-09 14:31:55|2194M    0     0   921M|52.0B  132B|8.9 1.6  89   0   0   0|0.89 0.75 0.75
05-09 14:31:56|2194M    0     0   921M|52.0B  100B| 17 0.3  83   0   0   0|0.90 0.75 0.75
05-09 14:31:57|2194M    0     0   921M|52.0B  100B| 16 0.5  83   0   0   0|0.90 0.75 0.75
05-09 14:31:58|2194M    0     0   921M|52.0B  100B| 17 0.2  83   0   0   0|0.90 0.75 0.75
05-09 14:31:59|2201M    0     0   913M|52.0B  100B| 15 0.2  84   0   0   0|0.90 0.75 0.75
05-09 14:32:00|2207M    0     0   907M| 104B  200B| 14 0.2  86   0   0   0|0.90 0.75 0.75
05-09 14:32:01|2194M    0     0   921M|52.0B  132B| 16 1.0  83   0   0   0|0.90 0.75 0.75
05-09 14:32:02|2196M    0     0   918M|52.0B  100B| 17 0.2  82   0   0   0|0.90 0.75 0.75
05-09 14:32:03|2168M    0     0   947M|52.0B  100B| 12 1.0  87   0   0   0|0.90 0.75 0.75
05-09 14:32:04|2168M    0     0   947M|52.0B  100B|  0   0 100   0   0   0|0.90 0.75 0.75
05-09 14:32:05|2168M    0     0   947M|52.0B  100B|  0   0 100   0   0   0|0.90 0.75 0.75
05-09 14:32:06|2194M    0     0   921M| 136B  200B| 15 1.0  84   0   0   0|0.91 0.76 0.75
05-09 14:32:07|2195M    0     0   919M|52.0B  100B| 17 0.2  83   0   0   0|0.91 0.76 0.75
05-09 14:32:08|2168M    0     0   947M|52.0B  100B| 15 0.8  84   0   0   0|0.91 0.76 0.75
05-09 14:32:09|2168M    0     0   947M|   0     0 |  0   0 100   0   0   0|0.91 0.76 0.75
05-09 14:32:10|2168M    0     0   947M|52.0B  116B|  0   0 100   0   0   0|0.91 0.76 0.75
05-09 14:32:11|2168M    0     0   947M|   0     0 |  0   0 100   0   0   0|0.84 0.75 0.75
05-09 14:32:12|2168M    0     0   947M|   0     0 |  0   0 100   0   0   0|0.84 0.75 0.75
05-09 14:32:13|2168M    0     0   947M|   0     0 |  0   0 100   0   0   0|0.84 0.75 0.75
05-09 14:32:14|2168M    0     0   947M|   0     0 |  0   0 100   0   0   0|0.84 0.75 0.75
05-09 14:32:15|2168M    0     0   947M|   0     0 |  0   0 100   0   0   0|0.84 0.75 0.75
05-09 14:32:16|2168M    0     0   947M|   0     0 |  0   0 100   0   0   0|0.77 0.73 0.75
05-09 14:32:17|2168M    0     0   947M|   0     0 |0.2   0 100   0   0   0|0.77 0.73 0.75
