[7l----system---- ------memory-usage----- -net/total- ----total-cpu-usage---- ---load-avg---
     time     | used  buff  cach  free| recv  send|usr sys idl wai hiq siq| 1m   5m  15m 
05-09 12:15:35|2104M    0     0  1011M|   0     0 |0.2 0.0 100 0.0   0   0|0.02 0.01 0.03
05-09 12:15:36|2104M    0     0  1011M| 188B 52.0B|0.2   0 100   0   0   0|0.02 0.01 0.03
05-09 12:15:37|2104M    0     0  1011M| 136B  936B|  0   0 100   0   0   0|0.02 0.01 0.03
05-09 12:15:38|2104M    0     0  1011M| 908B 1152B|  0 0.2 100   0   0   0|0.02 0.01 0.03
05-09 12:15:39|2157M    0     0   958M| 220B  136B| 12 1.2  87   0   0   0|0.10 0.03 0.03
05-09 12:15:40|2168M    0     0   947M| 188B  572B| 17 0.2  83   0   0   0|0.10 0.03 0.03
05-09 12:15:41|2167M    0     0   947M|84.0B  100B| 17   0  83   0   0   0|0.10 0.03 0.03
05-09 12:15:42|2167M    0     0   947M| 240B  232B| 17 0.2  83   0   0   0|0.10 0.03 0.03
05-09 12:15:43|2167M    0     0   947M|   0     0 | 17   0  83   0   0   0|0.10 0.03 0.03
05-09 12:15:44|2167M    0     0   947M| 136B  100B| 17   0  83   0   0   0|0.17 0.04 0.04
05-09 12:15:45|2167M    0     0   947M| 272B  200B| 17   0  83   0   0   0|0.17 0.04 0.04
05-09 12:15:46|2183M    0     0   931M| 136B  100B| 20 0.3  80   0   0   0|0.17 0.04 0.04
05-09 12:15:47|2232M    0     0   882M|   0     0 | 28 1.0  71   0   0   0|0.17 0.04 0.04
05-09 12:15:48|2234M    0     0   881M|84.0B 52.0B| 26 2.0  72   0   0   0|0.17 0.04 0.04
05-09 12:15:49|2235M    0     0   880M| 908B 1764B| 26 2.3  71   0   0   0|0.32 0.07 0.05
05-09 12:15:50|2236M    0     0   878M|52.0B  148B| 26 2.6  71   0   0   0|0.32 0.07 0.05
05-09 12:15:51|2239M    0     0   875M|   0     0 | 26 2.7  71   0   0   0|0.32 0.07 0.05
05-09 12:15:52|2239M    0     0   875M| 104B  216B| 26 2.7  71   0   0   0|0.32 0.07 0.05
05-09 12:15:53|2242M    0     0   873M| 104B  200B| 26 2.6  71   0   0   0|0.32 0.07 0.05
05-09 12:15:54|2243M    0     0   871M| 104B  300B| 26 2.7  71   0   0   0|0.45 0.11 0.06
05-09 12:15:55|2258M    0     0   856M| 156B  296B| 27 3.1  70   0   0   0|0.45 0.11 0.06
05-09 12:15:56|2262M    0     0   853M| 104B  200B| 35 2.3  63   0   0   0|0.45 0.11 0.06
05-09 12:15:57|2265M    0     0   849M| 104B  200B| 35 3.1  62   0   0   0|0.45 0.11 0.06
05-09 12:15:58|2272M    0     0   843M| 104B  300B| 30 2.8   - 380   0   0|0.45 0.11 0.06
05-09 12:15:59|2284M    0     0   831M| 156B  200B| 33 2.7 366   -   0   0|0.66 0.15 0.07
05-09 12:16:00|2286M    0     0   829M| 156B  300B| 33 3.1   - 366   0   0|0.66 0.15 0.07
05-09 12:16:01|2274M    0     0   840M| 104B  200B| 33 2.7   0  65   0   0|0.66 0.15 0.07
05-09 12:16:02|2284M    0     0   831M| 104B  200B| 32 2.4 372   -   0   0|0.66 0.15 0.07
05-09 12:16:03|2247M    0     0   868M| 104B  396B| 33 3.8  63   0   0   0|0.66 0.15 0.07
05-09 12:16:04|2269M    0     0   846M| 156B  200B| 35 2.4  62   0   0   0|0.84 0.20 0.09
05-09 12:16:05|2260M    0     0   854M| 104B  200B| 34 3.1  62   0   0   0|0.84 0.20 0.09
05-09 12:16:06|2264M    0     0   851M| 104B  200B| 31 3.0   - 374   0   0|0.84 0.20 0.09
05-09 12:16:07|2266M    0     0   848M| 104B  200B| 34 2.7 359   -   0   0|0.84 0.20 0.09
05-09 12:16:08|2267M    0     0   847M| 104B  300B| 33 2.8  64   0   0   0|0.84 0.20 0.09
05-09 12:16:09|2275M    0     0   840M| 156B  200B| 32 2.7  65   0   0   0|1.02 0.25 0.10
05-09 12:16:10|2275M    0     0   840M| 104B  200B| 34 3.0  63   0   0   0|1.02 0.25 0.10
05-09 12:16:11|2262M    0     0   852M| 104B  280B| 33 3.1  64   0   0   0|1.02 0.25 0.10
05-09 12:16:12|2263M    0     0   852M| 104B  200B| 35 2.7  62   0   0   0|1.02 0.25 0.10
05-09 12:16:13|2266M    0     0   849M| 104B  300B| 35 2.3   - 356   0   0|1.02 0.25 0.10
05-09 12:16:14|2261M    0     0   853M| 156B  200B| 33 2.8 362   -   0   0|1.17 0.29 0.12
05-09 12:16:15|2261M    0     0   853M| 188B  284B| 34 2.5  63   0   0   0|1.17 0.29 0.12
05-09 12:16:16|2235M    0     0   880M| 104B  200B| 33 3.3  64   0   0   0|1.17 0.29 0.12
05-09 12:16:17|2237M    0     0   878M| 104B  200B| 26 2.4  71   0   0   0|1.17 0.29 0.12
05-09 12:16:18|2238M    0     0   877M| 104B  300B| 26 2.7  71   0   0   0|1.17 0.29 0.12
05-09 12:16:19|2260M    0     0   854M| 208B  380B| 26 3.4  70   0   0   0|1.24 0.32 0.13
05-09 12:16:20|2266M    0     0   848M| 156B  284B| 35 2.6  62   0   0   0|1.24 0.32 0.13
05-09 12:16:21|2268M    0     0   846M| 104B  200B| 35 2.2  62   0   0   0|1.24 0.32 0.13
05-09 12:16:22|2272M    0     0   843M| 104B  200B| 34 2.4  63   0   0   0|1.24 0.32 0.13
05-09 12:16:23|2273M    0     0   842M| 104B  200B| 33 2.4  64   0   0   0|1.24 0.32 0.13
05-09 12:16:24|2272M    0     0   843M| 104B  300B| 34 2.8  63   0   0   0|1.38 0.36 0.14
05-09 12:16:25|2243M    0     0   871M| 156B  200B| 34 2.8  64   0   0   0|1.38 0.36 0.14
05-09 12:16:26|2233M    0     0   881M| 104B  200B| 26 2.7  71   0   0   0|1.38 0.36 0.14
