[7l----system---- ------memory-usage----- -net/total- ----total-cpu-usage---- ---load-avg---
     time     | used  buff  cach  free| recv  send|usr sys idl wai hiq siq| 1m   5m  15m 
06-09 11:43:59|2105M    0     0  1009M|   0     0 |0.2 0.0 100 0.0   0   0|0.07 0.08 0.16
06-09 11:44:00|2105M    0     0  1009M| 104B  100B|0.2   0 100   0   0   0|0.07 0.08 0.16
06-09 11:44:01|2105M    0     0  1009M|52.0B    0 |  0 0.2 100   0   0   0|0.07 0.08 0.16
06-09 11:44:02|2134M    0     0   980M| 104B  311B|5.6 1.1  93   0   0   0|0.14 0.10 0.16
06-09 11:44:03|2167M    0     0   948M|   0     0 | 18 1.1  81   0   0   0|0.14 0.10 0.16
06-09 11:44:04|2167M    0     0   948M|   0     0 | 22 1.5  76   0   0   0|0.14 0.10 0.16
06-09 11:44:05|2167M    0     0   948M|   0     0 | 22 1.8  76   0   0   0|0.14 0.10 0.16
06-09 11:44:06|2105M    0     0  1009M|52.0B  151B|8.1 1.6  90   0   0   0|0.14 0.10 0.16
06-09 11:44:07|2105M    0     0  1009M|   0     0 |0.2 0.2 100   0   0   0|0.13 0.10 0.16
06-09 11:44:08|2105M    0     0  1009M|84.0B 52.0B|  0   0 100   0   0   0|0.13 0.10 0.16
06-09 11:44:09|2105M    0     0  1009M| 136B 1240B|0.2   0 100   0   0   0|0.13 0.10 0.16
06-09 11:44:10|2157M    0     0   958M| 136B 84.0B| 15 1.3  84   0   0   0|0.13 0.10 0.16
06-09 11:44:11|2215M    0     0   900M| 760B  660B| 15 1.2  83   0   0   0|0.13 0.10 0.16
06-09 11:44:12|2174M    0     0   940M| 810B 1805B|8.5 1.3  90   0   0   0|0.20 0.11 0.17
06-09 11:44:13|2184M    0     0   931M|   0     0 |4.0 1.1   - 548   0   0|0.20 0.11 0.17
06-09 11:44:14|2239M    0     0   876M| 136B 84.0B| 16 2.3   0  82   0   0|0.20 0.11 0.17
06-09 11:44:15|2342M    0     0   772M|1484B 1324B| 26 1.4 415   -   0   0|0.20 0.11 0.17
06-09 11:44:16|2330M    0     0   785M| 674B  827B| 24 2.6  73   0   0   0|0.20 0.11 0.17
06-09 11:44:17|2378M    0     0   736M| 808B  716B| 24 2.6  73   0   0   0|0.34 0.14 0.18
06-09 11:44:18|2330M    0     0   784M| 150k  150k| 26 2.0  72   0   0   0|0.34 0.14 0.18
