[7l----system---- ------memory-usage----- -net/total- ----total-cpu-usage---- ---load-avg---
     time     | used  buff  cach  free| recv  send|usr sys idl wai hiq siq| 1m   5m  15m 
30-08 11:37:55|2104M    0     0  1011M|   0     0 |0.1 0.0 100 0.0   0   0|   0 0.16 0.46
30-08 11:37:56|2104M    0     0  1011M| 772B 1104B|6.5 0.4  93   0   0   0|   0 0.16 0.46
30-08 11:37:57|2104M    0     0  1011M|84.0B 52.0B|  0   0 100   0   0   0|   0 0.16 0.46
30-08 11:37:58|2104M    0     0  1011M| 136B  232B|  0   0 100   0   0   0|   0 0.15 0.45
30-08 11:37:59|2104M    0     0  1011M|   0     0 |  0   0 100   0   0   0|   0 0.15 0.45
30-08 11:38:00|2155M    0     0   959M| 188B  184B| 15 1.0  84   0   0   0|   0 0.15 0.45
30-08 11:38:01|2208M    0     0   907M|1100B 1480B| 13 1.0  86   0   0   0|   0 0.15 0.45
30-08 11:38:02|2189M    0     0   925M| 674B  757B| 15 1.8  83   0   0   0|   0 0.15 0.45
30-08 11:38:03|2239M    0     0   876M| 808B  716B| 15 1.8  83   0   0   0|0.08 0.17 0.46
30-08 11:38:04|2233M    0     0   881M|36.5k 36.6k| 15 1.5  83   0   0   0|0.08 0.17 0.46
30-08 11:38:05|2222M    0     0   893M|31.2k 32.4k| 16 1.2  83   0   0   0|0.08 0.17 0.46
30-08 11:38:06|2254M    0     0   861M|52.0B  116B| 16 0.8  83   0   0   0|0.08 0.17 0.46
30-08 11:38:07|2254M    0     0   861M|   0     0 | 16 0.8  83   0   0   0|0.08 0.17 0.46
30-08 11:38:08|2254M    0     0   861M| 386B 1244B| 16 0.7  83   0   0   0|0.15 0.18 0.46
30-08 11:38:09|2254M    0     0   861M|52.0B  100B| 16 0.5  83   0   0   0|0.15 0.18 0.46
30-08 11:38:10|2254M    0     0   861M|   0     0 | 16 0.5  83   0   0   0|0.15 0.18 0.46
30-08 11:38:11|2196M    0     0   919M|61.9k 61.8k| 16 1.0  84   0   0   0|0.15 0.18 0.46
30-08 11:38:12|2246M    0     0   868M|   0     0 | 16 1.0  83   0   0   0|0.15 0.18 0.46
30-08 11:38:13|2253M    0     0   861M|52.0B  100B| 17 0.3  83   0   0   0|0.22 0.19 0.46
30-08 11:38:14|2253M    0     0   861M|   0     0 | 17 0.2  83   0   0   0|0.22 0.19 0.46
30-08 11:38:15|2253M    0     0   861M| 156B 2582B| 17 0.2  83   0   0   0|0.22 0.19 0.46
30-08 11:38:16|2270M    0     0   844M|52.0B  100B| 16 0.3  83   0   0   0|0.22 0.19 0.46
30-08 11:38:17|2270M    0     0   844M|52.0B  100B| 17 0.3  82   0   0   0|0.22 0.19 0.46
30-08 11:38:18|2271M    0     0   844M|   0     0 | 16 0.3  83   0   0   0|0.28 0.21 0.46
30-08 11:38:19|2270M    0     0   844M|   0     0 | 16 0.3  83   0   0   0|0.28 0.21 0.46
30-08 11:38:20|2271M    0     0   844M|   0     0 | 17 0.2  83   0   0   0|0.28 0.21 0.46
30-08 11:38:21|2194M    0     0   921M|37.3k 37.4k| 16 0.5  84   0   0   0|0.28 0.21 0.46
30-08 11:38:22|2245M    0     0   869M|   0     0 | 16 1.0  83   0   0   0|0.28 0.21 0.46
30-08 11:38:23|2254M    0     0   861M| 892B 1297B| 18 0.5  82   0   0   0|0.34 0.22 0.47
30-08 11:38:24|2254M    0     0   861M|   0     0 | 16 0.5  83   0   0   0|0.34 0.22 0.47
30-08 11:38:25|2254M    0     0   861M| 156B 2428B| 16 0.5  83   0   0   0|0.34 0.22 0.47
30-08 11:38:26|2254M    0     0   861M|   0     0 | 16 1.0  83   0   0   0|0.34 0.22 0.47
30-08 11:38:27|2254M    0     0   861M|   0     0 | 16 0.5  83   0   0   0|0.34 0.22 0.47
