06-09 11:43:59 2105M 0 0 1009M 0 0 0.2 0.0 100 0.0 0 0 0.07 0.08 0.16
06-09 11:44:00 2105M 0 0 1009M 104 100 0.2 0 100 0 0 0 0.07 0.08 0.16
06-09 11:44:01 2105M 0 0 1009M 52.0 0 0 0.2 100 0 0 0 0.07 0.08 0.16
06-09 11:44:02 2134M 0 0 980M 104 311 5.6 1.1 93 0 0 0 0.14 0.10 0.16
06-09 11:44:03 2167M 0 0 948M 0 0 18 1.1 81 0 0 0 0.14 0.10 0.16
06-09 11:44:04 2167M 0 0 948M 0 0 22 1.5 76 0 0 0 0.14 0.10 0.16
06-09 11:44:05 2167M 0 0 948M 0 0 22 1.8 76 0 0 0 0.14 0.10 0.16
06-09 11:44:06 2105M 0 0 1009M 52.0 151 8.1 1.6 90 0 0 0 0.14 0.10 0.16
06-09 11:44:07 2105M 0 0 1009M 0 0 0.2 0.2 100 0 0 0 0.13 0.10 0.16
06-09 11:44:08 2105M 0 0 1009M 84.0 52.0 0 0 100 0 0 0 0.13 0.10 0.16
06-09 11:44:09 2105M 0 0 1009M 136 1240 0.2 0 100 0 0 0 0.13 0.10 0.16
06-09 11:44:10 2157M 0 0 958M 136 84.0 15 1.3 84 0 0 0 0.13 0.10 0.16
06-09 11:44:11 2215M 0 0 900M 760 660 15 1.2 83 0 0 0 0.13 0.10 0.16
06-09 11:44:12 2174M 0 0 940M 810 1805 8.5 1.3 90 0 0 0 0.20 0.11 0.17
06-09 11:44:13 2184M 0 0 931M 0 0 4.0 1.1 0 548 0 0 0.20 0.11 0.17
06-09 11:44:14 2239M 0 0 876M 136 84.0 16 2.3 0 82 0 0 0.20 0.11 0.17
06-09 11:44:15 2342M 0 0 772M 1484 1324 26 1.4 415 0 0 0 0.20 0.11 0.17
06-09 11:44:16 2330M 0 0 785M 674 827 24 2.6 73 0 0 0 0.20 0.11 0.17
06-09 11:44:17 2378M 0 0 736M 808 716 24 2.6 73 0 0 0 0.34 0.14 0.18
06-09 11:44:18 2330M 0 0 784M 0.146484375 0.146484375 26 2.0 72 0 0 0 0.34 0.14 0.18
06-09 11:44:19 2339M 0 0 776M 35.0 34.0.0087890625 24 1.8 74 0 0 0 0.34 0.14 0.18
06-09 11:44:20 2372M 0 0 743M 54.0.0068359375 54.0.0078125 26 2.4 72 0 0 0 0.34 0.14 0.18
06-09 11:44:21 2358M 0 0 756M 31.0.001953125 31.0.0009765625 26 3.5 70 0 0 0 0.34 0.14 0.18
06-09 11:44:22 2376M 0 0 738M 99.0.001953125 99.0.0009765625 26 2.9 71 0 0 0 0.48 0.17 0.19
06-09 11:44:23 2340M 0 0 774M 84.0.0078125 84.0.0048828125 26 2.2 72 0 0 0 0.48 0.17 0.19
06-09 11:44:24 2372M 0 0 743M 41.0.0029296875 41.0.001953125 27 2.0 71 0 0 0 0.48 0.17 0.19
