[7l----system---- ------memory-usage----- -net/total- ----total-cpu-usage---- ---load-avg---
     time     | used  buff  cach  free| recv  send|usr sys idl wai hiq siq| 1m   5m  15m 
05-09 13:59:58|2104M    0     0  1011M|   0     0 |0.2 0.0 100 0.0   0   0|0.01 0.12 0.19
05-09 13:59:59|2104M    0     0  1011M|84.0B 52.0B|  0   0 100   0   0   0|0.01 0.11 0.19
05-09 14:00:00|2104M    0     0  1011M| 324B 1200B|0.2 0.2 100   0   0   0|0.01 0.11 0.19
05-09 14:00:01|2104M    0     0  1011M| 136B  116B|  0   0 100   0   0   0|0.01 0.11 0.19
05-09 14:00:02|2161M    0     0   954M| 136B 84.0B| 14 0.7  85   0   0   0|0.01 0.11 0.19
05-09 14:00:03|2168M    0     0   947M|84.0B 52.0B| 17 0.2  83   0   0   0|0.01 0.11 0.19
05-09 14:00:04|2168M    0     0   947M|   0     0 | 17   0  83   0   0   0|0.09 0.13 0.19
05-09 14:00:05|2168M    0     0   947M|   0     0 | 17   0  83   0   0   0|0.09 0.13 0.19
05-09 14:00:06|2168M    0     0   947M|   0     0 | 17   0  83   0   0   0|0.09 0.13 0.19
05-09 14:00:07|2168M    0     0   947M| 136B  216B| 17   0  83   0   0   0|0.09 0.13 0.19
05-09 14:00:08|2168M    0     0   947M| 356B  200B| 17   0  83   0   0   0|0.09 0.13 0.19
05-09 14:00:09|2170M    0     0   945M| 240B  492B| 17   0  83   0   0   0|0.16 0.14 0.19
05-09 14:00:10|2170M    0     0   945M|   0     0 | 17   0  83   0   0   0|0.16 0.14 0.19
05-09 14:00:11|2168M    0     0   947M| 408B  300B| 17   0  83   0   0   0|0.16 0.14 0.19
05-09 14:00:12|2168M    0     0   947M| 628B  468B| 17   0  83   0   0   0|0.16 0.14 0.19
05-09 14:00:13|2194M    0     0   921M| 188B  100B| 21 0.6  79   0   0   0|0.16 0.14 0.19
05-09 14:00:14|2234M    0     0   880M|   0     0 | 28 0.7  71   0   0   0|0.31 0.17 0.20
05-09 14:00:15|2237M    0     0   877M|   0     0 | 27 2.0  71   0   0   0|0.31 0.17 0.20
05-09 14:00:16|2240M    0     0   875M|84.0B 52.0B| 26 2.6  71   0   0   0|0.31 0.17 0.20
05-09 14:00:17|2243M    0     0   872M| 908B 1716B| 27 2.0  71   0   0   0|0.31 0.17 0.20
05-09 14:00:18|2287M    0     0   827M|   0     0 | 27 2.1  71   0   0   0|0.31 0.17 0.20
05-09 14:00:19|2235M    0     0   880M|   0     0 | 26 2.1  72   0   0   0|0.44 0.20 0.21
05-09 14:00:20|2238M    0     0   877M|   0     0 | 27 2.0  71   0   0   0|0.44 0.20 0.21
05-09 14:00:21|2240M    0     0   875M|   0     0 | 26 2.1  71   0   0   0|0.44 0.20 0.21
05-09 14:00:22|2243M    0     0   871M|   0     0 | 27 1.6  71   0   0   0|0.44 0.20 0.21
05-09 14:00:23|2268M    0     0   846M| 104B  376B| 32 3.0  65   0   0   0|0.44 0.20 0.21
05-09 14:00:24|2259M    0     0   855M| 104B  316B| 35 3.0  62   0   0   0|0.65 0.25 0.23
05-09 14:00:25|2263M    0     0   851M| 156B  200B| 35 2.4  63   0   0   0|0.65 0.25 0.23
05-09 14:00:26|2265M    0     0   850M| 104B  200B| 35 3.2   - 354   0   0|0.65 0.25 0.23
05-09 14:00:27|2275M    0     0   839M| 104B  200B| 35 2.0 360   -   0   0|0.65 0.25 0.23
