[7l----system---- ------memory-usage----- -net/total- ----total-cpu-usage---- ---load-avg---
     time     | used  buff  cach  free| recv  send|usr sys idl wai hiq siq| 1m   5m  15m 
30-08 11:20:44|2100M    0     0  1015M|   0     0 |0.1 0.0 100 0.0   0   0|0.01 0.42 0.54
30-08 11:20:45|2100M    0     0  1015M|84.0B 52.0B|0.2   0 100   0   0   0|0.01 0.42 0.54
30-08 11:20:46|2100M    0     0  1015M| 136B 1288B|  0 0.2 100   0   0   0|0.01 0.42 0.54
30-08 11:20:47|2100M    0     0  1015M| 136B  100B|0.2   0 100   0   0   0|0.01 0.42 0.54
30-08 11:20:48|2100M    0     0  1015M|   0     0 |  0   0 100   0   0   0|0.01 0.42 0.54
30-08 11:20:49|2114M    0     0  1000M| 136B  100B|2.7 0.4  97   0   0   0|0.01 0.42 0.54
30-08 11:20:50|2100M    0     0  1015M| 188B  200B| 13 1.2  85   0   0   0|0.01 0.42 0.54
30-08 11:20:51|2100M    0     0  1015M| 136B  100B|  0   0 100   0   0   0|0.01 0.42 0.54
30-08 11:20:52|2100M    0     0  1015M| 272B  184B|  0   0 100   0   0   0|0.01 0.41 0.53
30-08 11:20:53|2100M    0     0  1015M| 272B  200B|0.2   0 100   0   0   0|0.01 0.41 0.53
30-08 11:20:54|2100M    0     0  1015M| 376B  744B|0.2   0 100   0   0   0|0.01 0.41 0.53
30-08 11:20:55|2100M    0     0  1015M| 136B  148B|  0 0.2 100   0   0   0|0.01 0.41 0.53
30-08 11:20:56|2100M    0     0  1015M| 772B 1104B|6.7 0.2  93   0   0   0|0.01 0.41 0.53
30-08 11:20:57|2100M    0     0  1015M|   0     0 |  0   0 100   0   0   0|0.01 0.40 0.53
30-08 11:20:58|2100M    0     0  1015M|   0     0 |  0   0 100   0   0   0|0.01 0.40 0.53
30-08 11:20:59|2100M    0     0  1015M|84.0B 52.0B|  0   0 100   0   0   0|0.01 0.40 0.53
