[7l----system---- ------memory-usage----- -net/total- ----total-cpu-usage---- ---load-avg---
     time     | used  buff  cach  free| recv  send|usr sys idl wai hiq siq| 1m   5m  15m 
06-09 10:37:20|2105M    0     0  1010M|   0     0 |0.2 0.0 100 0.0   0   0|0.04 0.02    0
06-09 10:37:21|2105M    0     0  1010M| 104B 84.0B|0.2   0 100   0   0   0|0.04 0.02    0
06-09 10:37:22|2105M    0     0  1010M|84.0B    0 |  0   0 100   0   0   0|0.04 0.02    0
06-09 10:37:23|2105M    0     0  1010M| 136B  268B|  0   0 100   0   0   0|0.04 0.02    0
06-09 10:37:24|2105M    0     0  1010M|   0     0 |  0   0 100   0   0   0|0.04 0.02    0
06-09 10:37:25|2105M    0     0  1010M|   0     0 |  0   0 100   0   0   0|0.04 0.02    0
06-09 10:37:26|2105M    0     0  1010M|   0     0 |  0   0 100   0   0   0|0.04 0.02    0
06-09 10:37:27|2105M    0     0  1010M|   0     0 |  0   0 100   0   0   0|0.04 0.02    0
06-09 10:37:28|2121M    0     0   993M| 220B  232B|3.1 0.6  96   0   0   0|0.04 0.02    0
06-09 10:37:29|2149M    0     0   965M| 168B  116B|7.9 0.5  92   0   0   0|0.12 0.03 0.01
06-09 10:37:30|2178M    0     0   936M| 676B  608B| 11 0.4  89   0   0   0|0.12 0.03 0.01
06-09 10:37:31|2227M    0     0   887M| 188B  396B| 16 0.3   - 481   0   0|0.12 0.03 0.01
06-09 10:37:32|2222M    0     0   893M| 810B  911B| 16 1.5   0  82   0   0|0.12 0.03 0.01
06-09 10:37:33|2278M    0     0   837M| 676B  608B| 16 0.8   0  83   0   0|0.12 0.03 0.01
06-09 10:37:34|2235M    0     0   880M| 706B  645B|6.9 0.4   0  93   0   0|0.27 0.07 0.02
06-09 10:37:35|2238M    0     0   877M| 188B  524B|1.0 0.4   0  99   0   0|0.27 0.07 0.02
06-09 10:37:36|2239M    0     0   876M|84.0B 52.0B|0.6   0   0  99   0   0|0.27 0.07 0.02
06-09 10:37:37|2240M    0     0   874M| 272B  928B|0.4 0.6   0  99   0   0|0.27 0.07 0.02
06-09 10:37:38|2240M    0     0   874M|   0     0 |0.6 0.2   0  99   0   0|0.27 0.07 0.02
06-09 10:37:39|2241M    0     0   873M|   0     0 |0.4   0   0 100   0   0|0.41 0.10 0.03
06-09 10:37:40|2243M    0     0   872M| 188B  284B|0.6   0   0  99   0   0|0.41 0.10 0.03
06-09 10:37:41|2243M    0     0   872M| 908B 1152B|1.0 0.2   0  99   0   0|0.41 0.10 0.03
06-09 10:37:42|2243M    0     0   871M|52.0B  234B|1.0 0.2   0  99   0   0|0.41 0.10 0.03
06-09 10:37:43|2246M    0     0   869M| 240B  401B|0.8 0.6   0  99   0   0|0.41 0.10 0.03
06-09 10:37:44|2247M    0     0   868M|   0     0 |0.8 0.2   0  99   0   0|0.53 0.13 0.04
06-09 10:37:45|2248M    0     0   866M|   0     0 |0.4 0.4   0  99   0   0|0.53 0.13 0.04
06-09 10:37:46|2249M    0     0   866M|   0     0 |1.2 0.8   0  98   0   0|0.53 0.13 0.04
06-09 10:37:47|2264M    0     0   851M| 810B  718B|4.0 0.6   0  95   0   0|0.53 0.13 0.04
06-09 10:37:48|2337M    0     0   777M| 810B  718B| 20 1.7 449   -   0   0|0.53 0.13 0.04
06-09 10:37:49|2347M    0     0   768M|40.2k 40.4k| 23 2.0   - 436   0   0|0.73 0.18 0.05
06-09 10:37:50|2360M    0     0   755M|52.4k 52.4k| 24 1.5   0  74   0   0|0.73 0.18 0.05
06-09 10:37:51|2312M    0     0   802M|36.0k 36.2k| 24 2.6 424   -   0   0|0.73 0.18 0.05
06-09 10:37:52|2348M    0     0   767M|37.6k 41.7k| 26 2.4  71   0   0   0|0.73 0.18 0.05
06-09 10:37:53|2426M    0     0   689M| 156B  252B| 24 2.6  73   0   0   0|0.73 0.18 0.05
06-09 10:37:54|2336M    0     0   778M|74.7k 74.6k| 26 2.4  72   0   0   0|0.91 0.22 0.07
06-09 10:37:55|2335M    0     0   780M|39.1k 39.1k| 24 2.2  73   0   0   0|0.91 0.22 0.07
06-09 10:37:56|2376M    0     0   738M| 364B 12.8k| 26 2.7  71   0   0   0|0.91 0.22 0.07
06-09 10:37:57|2333M    0     0   781M|73.3k 60.9k| 26 2.3  72   0   0   0|0.91 0.22 0.07
06-09 10:37:58|2384M    0     0   731M| 104B  252B| 25 2.9  72   0   0   0|0.91 0.22 0.07
06-09 10:37:59|2321M    0     0   794M|81.9k 81.9k| 25 3.3  72   0   0   0|1.00 0.25 0.08
06-09 10:38:00|2312M    0     0   802M|41.6k 41.7k| 25 2.2   - 419   0   0|1.00 0.25 0.08
06-09 10:38:01|2334M    0     0   780M|42.4k 42.4k| 26 2.4 414   -   0   0|1.00 0.25 0.08
06-09 10:38:02|2379M    0     0   735M|9690B 42.2k| 24 2.8  73   0   0   0|1.00 0.25 0.08
06-09 10:38:03|2347M    0     0   768M|78.4k 57.8k| 25 3.3  71   0   0   0|1.00 0.25 0.08
