25-08 17:17:29  940M  155M  825M 83.9M    0     0  8.5 4.3  87   0   0   0 0.07 0.05 0.05
25-08 17:17:30  940M  155M  825M 83.4M  727 5114 8.7 4.3  85 1.4   0 0.5 0.07 0.05 0.05
25-08 17:17:31  940M  155M  825M 83.6M  626 82.0 7.8 3.4  89   0   0   0 0.07 0.05 0.05
25-08 17:17:32  943M  155M  825M 79.7M    0     0   18 5.9  72 3.9   0   0 0.06 0.05 0.05
25-08 17:17:33  945M  155M  841M 62.6M    0     0   27 8.7  63 1.9   0   0 0.06 0.05 0.05
25-08 17:17:34  945M  155M  840M 63.1M    0     0   21 7.8  69 2.0   0   0 0.06 0.05 0.05
25-08 17:17:35  946M  155M  849M 53.7M 42.0 58.0  15  10  75   0   0   0 0.06 0.05 0.05
25-08 17:17:36  946M  155M  844M 58.4M    0     0   12 7.2  81   0   0   0 0.06 0.05 0.05
25-08 17:17:37  946M  155M  835M 67.5M  571 2876 9.7 4.9  85   0   0   0 0.06 0.05 0.05
25-08 17:17:38  946M  155M  835M 67.5M  446 82.0  10 3.9  84 1.9   0   0 0.06 0.05 0.05
25-08 17:17:39  946M  155M  835M 67.5M    0     0  5.9 3.9  90   0   0   0 0.06 0.05 0.05
25-08 17:17:40  946M  155M  834M 67.9M    0     0  7.3 1.9  87 3.4   0   0 0.06 0.05 0.05
25-08 17:17:41  946M  155M  835M 67.9M    0     0  9.3 3.9  86 0.5   0   0 0.06 0.05 0.05
25-08 17:17:42  946M  155M  835M 67.9M    0     0  7.4 4.0  89   0   0   0 0.05 0.05 0.05
25-08 17:17:43  945M  155M  834M 68.6M    0     0  6.4 3.4  90   0   0   0 0.05 0.05 0.05
25-08 17:17:44  945M  155M  835M 68.4M    0     0  8.3 4.4  82 4.9   0 0.5 0.05 0.05 0.05
25-08 17:17:45  945M  155M  835M 67.9M 1153 3906 8.3 5.3  86   0   0   0 0.05 0.05 0.05
25-08 17:17:46  945M  155M  835M 67.9M  759  164 6.7 4.3  89   0   0   0 0.05 0.05 0.05
25-08 17:17:47  946M  155M  834M 68.1M    0     0  8.7 4.3  87   0   0   0 0.05 0.05 0.05
25-08 17:17:48  959M  155M  835M 54.0M    0     0   22 4.9  67 5.4   0   0 0.05 0.05 0.05
25-08 17:17:49  979M  143M  824M 56.9M    0     0   51 7.0  40 2.5   0   0 0.05 0.05 0.05
25-08 17:17:50 1003M  135M  813M 51.4M    0     0   39 4.0  40  17   0   0 0.05 0.05 0.05
25-08 17:17:51  981M  127M  805M 90.8M  132  328  47 4.5  41 7.4   0   0 0.05 0.05 0.05
25-08 17:17:52 1007M  127M  807M 62.1M  198  437  47 6.0  45 2.0   0   0 0.05 0.05 0.05
25-08 17:17:53 1016M  127M  808M 52.5M    0     0   37 3.0  46  14   0   0 0.05 0.05 0.05
25-08 17:17:54 1007M  128M  808M 61.1M    0     0   49 5.5  42 3.5   0   0 0.05 0.05 0.05
25-08 17:17:55 1017M  128M  808M 51.1M  119 82.0  40 4.0  46  11   0   0 0.05 0.05 0.05
25-08 17:17:56 1007M  128M  808M 61.1M    0     0   51 4.5  43 2.0   0   0 0.05 0.05 0.05
25-08 17:17:57  984M  128M  808M 84.2M    0     0   43 4.5  43  10   0   0 0.12 0.07 0.05
25-08 17:17:58 1009M  128M  808M 59.1M  881 2489  52 5.5  43   0   0   0 0.12 0.07 0.05
25-08 17:17:59  991M  128M  808M 76.7M    0     0   37 6.0  46  10   0   0 0.12 0.07 0.05
25-08 17:18:00 1012M  128M  808M 55.1M    0     0   52 5.0  39 3.0   0 1.0 0.12 0.07 0.05
25-08 17:18:01  998M  125M  807M 74.1M    0     0   40 4.5  36  20   0 0.5 0.12 0.07 0.05
25-08 17:18:02 1016M  125M  807M 56.1M    0     0   51 3.0  42 3.0   0 0.5 0.19 0.08 0.06
25-08 17:18:03 1003M  125M  807M 68.4M    0     0   42 4.5  45 8.9   0   0 0.19 0.08 0.06
25-08 17:18:04 1016M  125M  807M 55.6M    0     0   47 2.5  44 7.4   0   0 0.19 0.08 0.06
25-08 17:18:05 1004M  125M  807M 67.2M    0     0   43 5.0  45 7.5   0   0 0.19 0.08 0.06
25-08 17:18:06 1016M  125M  808M 54.9M  222  217  49 5.4  43 3.4   0   0 0.19 0.08 0.06
25-08 17:18:07 1006M  125M  808M 64.6M    0     0   48 6.4  43 3.0   0   0 0.34 0.11 0.07
25-08 17:18:08 1016M  125M  808M 54.2M    0     0   43 5.5  45 7.5   0   0 0.34 0.11 0.07
25-08 17:18:09 1008M  125M  808M 62.6M    0     0   49 5.5  43 3.0   0   0 0.34 0.11 0.07
25-08 17:18:10 1017M  125M  808M 53.0M    0     0   40 7.0  43  11   0   0 0.34 0.11 0.07
25-08 17:18:11 1008M  125M  808M 62.2M  135  181  49 6.4  44 1.5   0   0 0.34 0.11 0.07
25-08 17:18:12 1017M  125M  808M 52.7M    0     0   36 7.9  30  27   0   0 0.39 0.13 0.07
25-08 17:18:13 1008M  125M  808M 61.6M    0     0   51 3.0  45 1.5   0 0.5 0.39 0.13 0.07
25-08 17:18:14  982M  125M  808M 87.4M    0     0   37 3.9  45  14   0   0 0.39 0.13 0.07
25-08 17:18:15 1009M  125M  808M 60.8M    0     0   50 6.0  44   0   0   0 0.39 0.13 0.07
25-08 17:18:16  984M  125M  809M 85.0M    0     0   39 3.5  46  12   0   0 0.39 0.13 0.07
25-08 17:18:17 1009M  125M  809M 60.1M    0     0   53 4.0  43   0   0   0 0.44 0.14 0.08
25-08 17:18:18  990M  125M  809M 78.9M    0     0   41 4.0  45  10   0   0 0.44 0.14 0.08
25-08 17:18:19 1011M  125M  809M 57.8M    0     0   52 5.5  41 2.0   0   0 0.44 0.14 0.08
25-08 17:18:20  995M  125M  809M 74.3M    0     0   38 7.0  43  13   0   0 0.44 0.14 0.08
25-08 17:18:21 1015M  125M  809M 53.4M    0     0   53 4.0  43   0   0   0 0.44 0.14 0.08
25-08 17:18:22  999M  125M  809M 69.8M  661 5114  39 5.8  31  24   0 0.5 0.56 0.17 0.09
25-08 17:18:23 1017M  125M  809M 52.2M  692 82.0  52 2.5  36 9.1   0   0 0.56 0.17 0.09
25-08 17:18:24 1004M  125M  809M 65.1M    0     0   42 5.4  46 7.4   0   0 0.56 0.17 0.09
25-08 17:18:25 1017M  125M  809M 51.4M  119 82.0  48 3.5  44 4.5   0   0 0.56 0.17 0.09
25-08 17:18:26 1005M  125M  809M 62.9M    0     0   43 6.0  45 6.5   0   0 0.56 0.17 0.09
25-08 17:18:27 1017M  125M  810M 50.8M 42.0 58.0  46 3.4  44 6.9   0   0 0.60 0.19 0.09
25-08 17:18:28 1008M  125M  810M 60.1M    0     0   47 5.0  44 4.0   0   0 0.60 0.19 0.09
25-08 17:18:29 1017M  125M  810M 50.7M    0     0   36 3.0  45  15   0 0.5 0.60 0.19 0.09
25-08 17:18:30 1007M  125M  810M 61.1M    0     0   46 5.0  40 9.0   0   0 0.60 0.19 0.09
25-08 17:18:31 1017M  125M  810M 50.7M    0     0   42 3.0  43  12   0   0 0.60 0.19 0.09
25-08 17:18:32 1009M  125M  810M 59.0M    0     0   52 5.0  44   0   0   0 0.55 0.18 0.09
25-08 17:18:33 1017M  126M  810M 50.2M    0     0   39 4.5  28  29   0   0 0.55 0.18 0.09
25-08 17:18:34 1009M  125M  808M 61.2M    0     0   51 7.0  42   0   0   0 0.55 0.18 0.09
25-08 17:18:35  987M  125M  808M 83.4M    0     0   40 5.0  43  11   0 0.5 0.55 0.18 0.09
25-08 17:18:36 1010M  125M  810M 58.9M    0     0   57 9.5  33   0   0   0 0.55 0.18 0.09
25-08 17:18:37  992M  125M  810M 76.2M 66.0 2038  41 5.4  44 9.9   0   0 0.59 0.20 0.10
25-08 17:18:38 1012M  125M  809M 58.2M  446 82.0  54 3.0  44   0   0   0 0.59 0.20 0.10
25-08 17:18:39  994M  125M  810M 74.7M    0     0   42 7.0  41 9.5   0   0 0.59 0.20 0.10
25-08 17:18:40 1014M  125M  810M 54.7M    0     0   54 5.0  41   0   0   0 0.59 0.20 0.10
25-08 17:18:41  999M  125M  809M 70.4M    0     0   39 5.0  42  14   0   0 0.59 0.20 0.10
25-08 17:18:42 1017M  125M  810M 51.2M    0     0   56 6.0  38   0   0   0 0.62 0.21 0.10
25-08 17:18:43 1004M  122M  808M 69.2M    0     0   44 7.9  30  18   0   0 0.62 0.21 0.10
25-08 17:18:44 1017M  122M  810M 54.8M    0     0   70 7.6  19 3.5   0   0 0.62 0.21 0.10
25-08 17:18:45 1003M  122M  809M 68.9M  850 1554  48 5.5  37 9.5   0   0 0.62 0.21 0.10
25-08 17:18:46 1018M  122M  808M 55.3M  578 4242  54 4.0  39 3.5   0   0 0.62 0.21 0.10
25-08 17:18:47 1005M  122M  808M 68.0M  617  164  55 5.0  33 6.5   0   0 0.73 0.24 0.11
25-08 17:18:48 1018M  122M  808M 54.6M    0     0   69 3.5  25 3.0   0   0 0.73 0.24 0.11
25-08 17:18:49 1011M  122M  809M 60.8M  185  355  58 7.0  29 7.0   0   0 0.73 0.24 0.11
25-08 17:18:50 1022M  122M  810M 49.5M  746 2301  46 4.5  41 9.0   0   0 0.73 0.24 0.11
25-08 17:18:51 1013M  119M  808M 63.1M  683 2216  57 5.0  36 2.5   0   0 0.73 0.24 0.11
25-08 17:18:52 1022M  119M  808M 54.0M  683 2213  43 3.4  43  11   0   0 0.75 0.25 0.12
25-08 17:18:53 1014M  119M  808M 61.9M    0     0   58 7.0  35   0   0   0 0.75 0.25 0.12
25-08 17:18:54 1022M  119M  810M 51.3M    0     0   48 9.4  23  19   0   0 0.75 0.25 0.12
25-08 17:18:55 1014M  119M  809M 60.4M    0     0   55 7.5  38   0   0   0 0.75 0.25 0.12
25-08 17:18:56 1023M  119M  809M 51.5M    0     0   38 2.5  46  14   0   0 0.75 0.25 0.12
25-08 17:18:57 1014M  119M  809M 59.9M    0     0   53 7.5  40   0   0   0 0.77 0.27 0.12
25-08 17:18:58  992M  120M  809M 82.4M  275 82.0  44 3.5  41  11   0 0.5 0.77 0.27 0.12
25-08 17:18:59 1017M  120M  809M 56.9M    0     0   60 6.4  33 0.5   0   0 0.77 0.27 0.12
25-08 17:19:00  997M  118M  808M 80.8M    0     0   41 3.0  42  14   0   0 0.77 0.27 0.12
25-08 17:19:01 1019M  118M  816M 50.4M  596  164  67 8.0  24 1.0   0   0 0.77 0.27 0.12
25-08 17:19:02 1003M  116M  811M 73.5M  822  246  46 6.5  39 9.0   0   0 1.03 0.33 0.14
25-08 17:19:03 1022M  116M  804M 60.2M    0     0   54 5.5  41   0   0   0 1.03 0.33 0.14
25-08 17:19:04 1013M  116M  802M 71.5M    0     0   44 5.5  25  24   0 1.0 1.03 0.33 0.14
25-08 17:19:05 1030M  116M  802M 55.1M    0     0   53 4.5  26  16   0   0 1.03 0.33 0.14
25-08 17:19:06 1017M  116M  803M 67.4M    0     0   44 6.4  41 8.4   0   0 1.03 0.33 0.14
25-08 17:19:07 1029M  116M  802M 56.0M    0     0   48 3.5  42 6.5   0   0 1.03 0.34 0.15
25-08 17:19:08  959M  116M  801M  127M    0     0   14 5.8  74 5.3   0 0.5 1.03 0.34 0.15
25-08 17:19:09  958M  116M  801M  127M    0     0  8.9 2.5  88 0.5   0   0 1.03 0.34 0.15
25-08 17:19:10  959M  116M  808M  120M  705  246  18 5.9  76   0   0   0 1.03 0.34 0.15
25-08 17:19:11  959M  116M  817M  111M 5182  929  28 8.9  63   0   0   0 1.03 0.34 0.15
25-08 17:19:12  959M  116M  817M  110M    0     0  8.3 4.9  87   0   0   0 0.95 0.33 0.15
