25-08 17:17:11  939M  155M  824M 84.6M    0     0  7.9 3.4  87 1.5 0.0 0.1 0.10 0.06 0.05
25-08 17:17:12  939M  155M  825M 84.3M    0     0  9.5 5.2  85   0   0   0 0.09 0.06 0.05
25-08 17:17:13  939M  155M  825M 84.4M    0     0  4.9 1.5  94   0   0   0 0.09 0.06 0.05
25-08 17:17:14  940M  155M  824M 84.1M    0     0  9.0 6.0  85   0   0   0 0.09 0.06 0.05
25-08 17:17:15  939M  155M  825M 84.1M 1032 2460 8.3 4.4  87   0   0   0 0.09 0.06 0.05
25-08 17:17:16  939M  155M  824M 84.8M    0     0  6.3 4.3  86 3.4   0   0 0.09 0.06 0.05
25-08 17:17:17  939M  155M  824M 84.9M    0     0  7.8 3.4  89   0   0   0 0.08 0.06 0.05
25-08 17:17:18  939M  155M  824M 84.9M    0     0  5.8 3.9  90   0   0 0.5 0.08 0.06 0.05
25-08 17:17:19  940M  155M  824M 84.9M    0     0  7.7 3.3  89   0   0   0 0.08 0.06 0.05
25-08 17:17:20  939M  155M  824M 84.4M    0     0  7.1 3.3  86 3.3   0   0 0.08 0.06 0.05
25-08 17:17:21  940M  155M  825M 83.8M    0     0  9.6 4.3  86   0   0   0 0.08 0.06 0.05
25-08 17:17:22  940M  155M  825M 83.7M    0     0  7.8 4.4  88   0   0   0 0.08 0.06 0.05
25-08 17:17:23  940M  155M  825M 83.6M    0     0   11 3.4  86   0   0   0 0.08 0.06 0.05
25-08 17:17:24  940M  155M  825M 83.7M    0     0  8.4 3.0  89   0   0   0 0.08 0.06 0.05
25-08 17:17:25  940M  155M  825M 83.8M    0     0  7.9 4.9  87   0   0   0 0.08 0.06 0.05
25-08 17:17:26  940M  155M  824M 83.8M    0     0  9.2 3.4  84 3.4   0   0 0.08 0.06 0.05
25-08 17:17:27  940M  155M  825M 83.8M    0     0  8.7 2.4  89   0   0   0 0.07 0.05 0.05
25-08 17:17:28  940M  155M  825M 83.7M    0     0  5.9 2.5  92   0   0   0 0.07 0.05 0.05
